#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:sequence_data" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:sequence_data" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:sequence_data" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sequence_data">
#                <taxonset id="TaxonSet.sequence_data" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sequence_data" name="distribution" x="@birthRate2.t:sequence_data">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sequence_data" name="distribution" x="@relativeDeathRate2.t:sequence_data">
#            <Uniform id="Uniform.01" name="distr"/>
#        </prior>
#        <distribution id="all.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:sequence_data">
#            <taxonset id="all" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t10" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t9" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">100.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="sigma">0.5</parameter>
#            </Normal>
#        </distribution>
#        <prior id="ucldStdevPrior.c:sequence_data" name="distribution">
#            <parameter id="ucldStdev.c:sequence_data" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.03" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <prior id="MeanRatePrior.c:sequence_data" name="distribution">
#            <parameter id="ucldMean.c:sequence_data" name="x">1.0</parameter>
#            <Uniform id="Uniform.02" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@sequence_data" id="treeLikelihood.sequence_data" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:sequence_data">
#            <siteModel id="SiteModel.s:sequence_data" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequence_data" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequence_data" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequence_data" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequence_data" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:sequence_data" id="RelaxedClock.c:sequence_data" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:sequence_data">
#                <LogNormal S="@ucldStdev.c:sequence_data" id="LogNormalDistributionModel.c:sequence_data" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.04" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="18" id="rateCategories.c:sequence_data" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	logP(mrca(all))	mrcatime(all)	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	
0	-23996.645221313003	-4623.7915723145015	-19372.8536489985	-4623.7915723145015	1.6111254732143827	-5.7982052168688885	1.0	0.5	-19360.96705264777	1.6111254732143827	1.0	0.1	1.0133217915969621	0.007073169603174459	0.08412644249339035	
10000	-1932.9983035295072	-1883.972600540748	-49.02570298875901	-1883.972600540748	99.78272981733762	-34.67647266648441	0.01688965833027805	0.9471558358151756	-0.32020401719301106	99.78272981733762	0.4525656912927954	2.5622402653706415	0.0020921095413284426	6.302502657449968E-4	1.918606853547019	
20000	-1935.1656724002419	-1886.9569931443896	-48.208679255852346	-1886.9569931443896	100.04200940795137	-33.80282858888333	0.012739177683507292	0.920412101220428	-0.22932093335757645	100.04200940795137	0.3490511862154387	2.614988852484078	0.002050652466765662	0.004032789375380515	1.83038157233521	
30000	-1938.2468624407559	-1885.9267440667086	-52.32011837404726	-1885.9267440667086	99.55854799518788	-37.52392906207587	0.016376421385553664	0.8820786499929368	-0.6155510977500083	99.55854799518788	0.25761226145792043	2.616459055423703	0.001683628343432514	3.5820165448007516E-4	2.003006216916331	
40000	-1937.0596687771929	-1884.178669480653	-52.88099929653975	-1884.178669480653	100.34069584486572	-38.00660026497736	0.007367904759008247	0.9326203247722379	-0.45793867006226185	100.34069584486572	0.16717271590439342	2.700932599078055	0.0015412858792908054	2.0848730012142164E-5	1.094744189178079	
50000	-1932.107521599552	-1880.5512051276087	-51.556316471943305	-1880.5512051276087	99.40967692441225	-36.18784087831291	0.017603274008939684	0.7426434992572889	-0.9227540197874818	99.40967692441225	0.2917475087421347	2.711425694384316	0.0020829995227356637	7.803462843400894E-5	1.190830904903078	
60000	-1934.6686991468564	-1879.9464230837775	-54.722276063078894	-1879.9464230837775	99.62097998145477	-39.41779374560772	0.019984315636688003	0.586782723417687	-0.5131037015607857	99.62097998145477	0.3285047761629422	2.8355611840672403	0.0016045692380615803	3.4033398511966615E-5	1.578277123883463	
70000	-1937.2915702284254	-1883.066836766153	-54.22473346227233	-1883.066836766153	99.30944381316961	-38.71141258583105	0.026422283141532592	0.36824202169309794	-1.1795270469841899	99.30944381316961	0.2608164540403869	2.671301828968163	0.0020365027939282065	7.835911727676075E-6	0.7479991443392915	
80000	-1934.019230436902	-1880.539440327705	-53.47979010919707	-1880.539440327705	99.68849749445084	-38.57803742544062	0.02502579481755024	0.5034670208327598	-0.41985897457153276	99.68849749445084	0.2866412480099328	2.7244004693911075	0.001737882058861498	4.092679017857703E-5	1.5577664604925725	
90000	-1935.3598406061913	-1880.9052485500363	-54.45459205615497	-1880.9052485500363	99.59217254869148	-39.418954630683636	0.03326822875348799	0.020178142723807593	-0.5584378127263347	99.59217254869148	0.14524753303494198	2.7227165067722554	0.0019021311506780606	2.271827512764352E-5	1.000127326774918	
100000	-1932.2830041220436	-1879.0684720292977	-53.21453209274595	-1879.0684720292977	99.43320619864016	-38.08936979458848	0.014636330096968075	0.7749848905812242	-0.8683017791645937	99.43320619864016	0.1519235854573122	2.643744274081495	0.0018756971022693284	1.9468874493286937E-4	1.8192983418230695	
110000	-1936.1246780045556	-1882.962974385714	-53.161703618841614	-1882.962974385714	100.38606691513215	-38.07611046852087	0.04197264479956039	0.7006453227983459	-0.5238866785640328	100.38606691513215	0.1822324882368188	2.7530421423422906	0.0019390360789844725	1.681740443043301E-4	1.5181491992089449	
120000	-1937.9627709113895	-1882.308204731824	-55.654566179565464	-1882.308204731824	100.49358567132035	-40.16070110991185	0.014623773374294234	0.422585831235372	-0.7130449825102414	100.49358567132035	0.1459332341209482	2.8317644656405205	0.0017627125441610073	2.1617486338530332E-4	1.6944065398881325	
130000	-1935.1974747116312	-1883.1011650023456	-52.0963097092855	-1883.1011650023456	98.92714038824494	-34.624382098078954	0.027378771118777047	0.8671354284279302	-2.5278468457151795	98.92714038824494	0.2812432625760514	2.890503850076264	0.0022326257762513967	5.606268820429024E-4	1.8574617101020594	
140000	-1929.8815292757201	-1878.711749012188	-51.16978026353215	-1878.711749012188	98.84864477731784	-34.316122395876455	0.02146101129827761	0.7348255720459093	-2.877029050239681	98.84864477731784	0.23808195842402075	2.543519072065793	0.0024041373579583667	2.4641924393283845E-4	1.4616712089561708	
