#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:sequence_data" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:sequence_data" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:sequence_data" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sequence_data">
#                <taxonset id="TaxonSet.sequence_data" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sequence_data" name="distribution" x="@birthRate2.t:sequence_data">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sequence_data" name="distribution" x="@relativeDeathRate2.t:sequence_data">
#            <Uniform id="Uniform.01" name="distr"/>
#        </prior>
#        <distribution id="all.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:sequence_data">
#            <taxonset id="all" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t10" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t9" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">100.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="sigma">0.5</parameter>
#            </Normal>
#        </distribution>
#        <prior id="ucldStdevPrior.c:sequence_data" name="distribution">
#            <parameter id="ucldStdev.c:sequence_data" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.03" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <prior id="MeanRatePrior.c:sequence_data" name="distribution">
#            <parameter id="ucldMean.c:sequence_data" name="x">1.0</parameter>
#            <Uniform id="Uniform.02" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@sequence_data" id="treeLikelihood.sequence_data" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:sequence_data">
#            <siteModel id="SiteModel.s:sequence_data" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequence_data" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequence_data" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequence_data" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequence_data" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:sequence_data" id="RelaxedClock.c:sequence_data" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:sequence_data">
#                <LogNormal S="@ucldStdev.c:sequence_data" id="LogNormalDistributionModel.c:sequence_data" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.04" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="18" id="rateCategories.c:sequence_data" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	logP(mrca(all))	mrcatime(all)	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	
0	-22713.191915927	-3617.495012089289	-19095.69690383771	-3617.495012089289	2.314840333092263	-4.601883052686577	1.0	0.5	-19085.00662965116	2.314840333092263	1.0	0.1	0.9539944986011651	0.011079471603562652	0.10642599193947691	
10000	-1391.719981313916	-1354.667969989367	-37.05201132454896	-1354.667969989367	99.75068446342486	-22.444159439734324	0.014514230987722983	0.9835655322555704	-0.3501078262002265	99.75068446342486	0.7383824796567645	2.6440606574985983	0.0012579868032950774	0.004618476633019105	1.5784450745697247	
20000	-1400.350393980052	-1352.5658051506116	-47.7845888294405	-1352.5658051506116	100.11533463211717	-31.72398843781281	0.024868127164940697	0.8310381710681606	-0.2523955073759324	100.11533463211717	1.643329699938537	3.202490942715557	0.0012029643777879365	0.006251673009020354	2.454154105262748	
30000	-1398.4574952065873	-1347.6714349947558	-50.786060211831376	-1347.6714349947558	100.66791281608134	-33.60598939308489	0.026311764032019777	0.7285385499884627	-1.1180064124161406	100.66791281608134	1.412283185765207	3.2944615671483066	0.0011994397219005641	0.002659610585845005	2.9755417779428748	
40000	-1399.2929226618107	-1348.7708905901518	-50.52203207165898	-1348.7708905901518	99.9691692564414	-33.85858156579015	0.01955959105022369	0.9184181161295958	-0.2276924221414792	99.9691692564414	1.2804433529186274	3.430082077062175	9.682174415785032E-4	1.4027516210797917E-4	1.578299016298811	
50000	-1401.9965764113003	-1348.9171446415191	-53.07943176978129	-1348.9171446415191	99.6383763097404	-35.69899479510647	0.00552253144159896	0.9654813930298335	-0.4873347393586779	99.6383763097404	2.2913220088604374	3.596415788154492	0.0012016766897660883	3.341186880307677E-5	1.7320058195212114	
60000	-1411.2035450128708	-1356.6094325688061	-54.59411244406461	-1356.6094325688061	100.23768866972917	-37.88264490271622	0.015468889450645203	0.8577941352203063	-0.3387831600799691	100.23768866972917	0.9992258299753355	3.4071725183935846	0.0012813199406813596	8.011376176530719E-4	3.194566452069377	
70000	-1414.580498475241	-1352.3388399542193	-62.24165852102161	-1352.3388399542193	100.35548200280294	-44.68828574617039	0.009118397020172475	0.3668456280139654	-0.4785262612783119	100.35548200280294	0.9147813159113419	3.662616823994727	7.16785574577985E-4	1.9316771576589312E-4	3.03645362288332	
80000	-1415.144409247192	-1352.8675342405238	-62.276875006668185	-1352.8675342405238	100.21663665405973	-44.384873246246705	0.02192856378023438	0.3876343703510041	-0.3196542324091147	100.21663665405973	1.5407093151873061	3.8441087899202206	6.004114508923223E-4	4.857066894031581E-6	1.7266287337632678	
90000	-1411.386749133691	-1347.9220346634395	-63.46471447025139	-1347.9220346634395	99.68438209205733	-45.07500838337113	0.019512721795028318	0.20286981136007262	-0.42502068027293827	99.68438209205733	2.097560037079327	3.9875032365473455	4.8011151728682907E-4	2.0721960225998865E-6	1.819068699886246	
100000	-1412.8889593535837	-1346.8155132628228	-66.07344609076084	-1346.8155132628228	100.28853909300065	-47.22291252032068	0.0025776502527406087	0.7693004207653149	-0.39230096902400385	100.28853909300065	3.9861206810070042	4.16819658661984	5.440443545607052E-4	6.917047819143762E-6	2.4233965609422485	
110000	-1417.4679902938112	-1352.9148356634607	-64.55315463035052	-1352.9148356634607	100.0626169817846	-46.01220349591802	0.015375897954386384	0.42305225231201365	-0.23363312546035336	100.0626169817846	4.201907537690462	4.112910056617937	6.117018380381231E-4	1.3071130618837888E-5	2.095090610340501	
120000	-1416.8413537037927	-1349.487474061839	-67.35387964195357	-1349.487474061839	99.93762649479557	-48.662885040495574	0.033619821197772404	0.23760362288159823	-0.23357226094770245	99.93762649479557	3.8158475901709146	4.167899673108926	5.552605492426074E-4	7.181098384936918E-6	1.8722474342029327	
130000	-1419.3342734683574	-1353.1430213509702	-66.19125211738717	-1353.1430213509702	99.57751193723135	-46.702095818450466	0.0060447123787112315	0.2938048078893518	-0.5827836790087413	99.57751193723135	4.522819536031784	4.332541873852508	7.118531067387505E-4	1.545256686348012E-5	2.223660525340193	
140000	-1413.4509087403073	-1349.4101753870855	-64.04073335322194	-1349.4101753870855	100.06847972317723	-44.20619016996049	0.01461668480060178	0.5685049487506862	-0.23517029761758848	100.06847972317723	3.2456136203904298	4.5871578728372935	7.604842943260433E-4	5.844390386797962E-7	1.151094139290006	
150000	-1414.2667267105335	-1349.9306860054207	-64.3360407051128	-1349.9306860054207	99.69843548454415	-44.51268431795106	0.01729018330089047	0.31243003871820313	-0.4076736666089721	99.69843548454415	4.8438388382225055	4.5196147893600305	6.222249794613292E-4	8.762129409063678E-7	1.5843067996610574	
160000	-1417.9861933726922	-1352.8118663294822	-65.17432704321003	-1352.8118663294822	100.05042125012798	-45.302572892266426	0.017085015985300125	0.2255672022787042	-0.2308759575736645	100.05042125012798	5.460688676271931	4.602424546545674	5.670286675490281E-4	2.4148682849904035E-5	2.5834423691373476	
170000	-1410.3322121581164	-1347.2663745977227	-63.06583756039357	-1347.2663745977227	100.05175960340081	-43.23534151924476	0.017523003422844012	0.3370030984065671	-0.23114946573314582	100.05175960340081	6.872508403050327	4.587148195881362	6.392117970153797E-4	1.5856042291788602E-6	1.5740793524653827	
180000	-1410.2621852889129	-1349.157542000089	-61.10464328882375	-1349.157542000089	99.28276959464	-40.21575136483339	0.011219227065792833	0.6878026099660787	-1.2546302613904636	99.28276959464	4.479531710760589	4.599990698511789	9.41453393403347E-4	1.0755873828258583E-6	0.978773895355058	
190000	-1410.1561222534228	-1349.0993723743395	-61.056749879083405	-1349.0993723743395	99.59492568729426	-40.79028180622178	0.008371169677565517	0.7677189327934283	-0.553961750272776	99.59492568729426	4.811920142698159	4.628775512155896	8.278241507504899E-4	1.4115812654729938E-5	2.388958029048423	
200000	-1412.7621164242073	-1346.8898312956553	-65.87228512855208	-1346.8898312956553	100.71096369476903	-45.20086012205956	0.019928843752636233	0.12263499555271673	-1.236730103204002	100.71096369476903	4.687850875635075	4.526603856010995	4.790564896098705E-4	7.514330071241406E-7	1.8294019731139461	
210000	-1413.7412616030613	-1348.8248896655225	-64.91637193753884	-1348.8248896655225	99.37911641278818	-44.37325667601077	0.018921658509129306	0.24172783344847568	-0.9967842103827664	99.37911641278818	5.009269036598654	4.567650512032089	5.728688694815413E-4	6.302148405412755E-7	1.6803840923113795	
220000	-1418.0204457072166	-1351.5657271221617	-66.45471858505498	-1351.5657271221617	100.33678779117362	-46.292723880366566	0.01070669319917081	0.15238661693114564	-0.45264338521193925	100.33678779117362	5.531601836703953	4.6276147155392	3.96482716623519E-4	2.677048837634615E-6	2.222456966368851	
230000	-1416.4056785857522	-1347.4629984347812	-68.94268015097103	-1347.4629984347812	100.04086642385154	-48.907737719157716	0.02105206382920124	0.5436099830159938	-0.2291314818415548	100.04086642385154	5.359013754035165	4.663109177936675	4.618053809096474E-4	1.9312972341559595E-6	2.147655070986991	
240000	-1421.7237487280383	-1352.4110470348526	-69.31270169318573	-1352.4110470348526	99.65322460811707	-48.51333901127782	0.008990541019578916	0.35529619283120245	-0.4662976974758451	99.65322460811707	9.349950383448718	4.8572939294555395	3.681497866279145E-4	2.1279073687077634E-6	2.133719627390996	
250000	-1411.275397471028	-1345.9021417113888	-65.37325575963932	-1345.9021417113888	99.95640969183737	-45.05363987949034	0.017556774301822474	0.5138734802946485	-0.22959158257615433	99.95640969183737	6.110022173077623	4.767748357208588	6.191436056123956E-4	1.0775706332351765E-6	1.7691195139877987	
