#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:sequence_data" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:sequence_data" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:sequence_data" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sequence_data">
#                <taxonset id="TaxonSet.sequence_data" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sequence_data" name="distribution" x="@birthRate2.t:sequence_data">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="ClockPrior.c:sequence_data" name="distribution">
#            <parameter id="clockRate.c:sequence_data" name="x">1.0</parameter>
#            <Uniform id="Uniform.01" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sequence_data" name="distribution" x="@relativeDeathRate2.t:sequence_data">
#            <Uniform id="Uniform.02" name="distr"/>
#        </prior>
#        <distribution id="all.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:sequence_data">
#            <taxonset id="all" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t10" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t9" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">100.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="sigma">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@sequence_data" id="treeLikelihood.sequence_data" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:sequence_data">
#            <siteModel id="SiteModel.s:sequence_data" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequence_data" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequence_data" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequence_data" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequence_data" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:sequence_data" id="StrictClock.c:sequence_data" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	logP(mrca(all))	mrcatime(all)	clockRate	
0	-23316.297635340055	-4038.6400589385717	-19277.657576401485	-4038.6400589385717	1.8557832996011756	-5.94948630017167	1.0	0.5	-19264.800334822332	1.8557832996011756	1.0	
1000	-2468.7716838294086	-2426.3030785615892	-42.46860526781959	-2426.3030785615892	99.97589823222938	-35.33389684577339	0.09617997069141039	0.6791818474027568	-0.22695314306406486	99.97589823222938	0.10808406849794062	
2000	-2350.367983380685	-2319.1957036068984	-31.172279773786574	-2319.1957036068984	100.2616065577237	-23.90185716007163	0.03164934321665277	0.9816834193320636	-0.36266733473280954	100.2616065577237	0.05513029493558821	
3000	-2346.807012457693	-2312.8746858181466	-33.932326639546304	-2312.8746858181466	100.19859016594724	-26.71990389989754	0.03276831532941539	0.979273850024091	-0.3046674606666301	100.19859016594724	0.03456352741626618	
4000	-2348.3635356718355	-2314.2137434998613	-34.149792171974106	-2314.2137434998613	100.01871385868057	-27.015545123333805	0.0344553379787575	0.9675471117285518	-0.2264917696581601	100.01871385868057	0.035035430266877735	
5000	-2263.9186718277806	-2225.277147667976	-38.641524159804796	-2225.277147667976	98.96097426532106	-29.34882857352769	0.011392007134702582	0.9664907519948005	-2.3849403072949658	98.96097426532106	0.009156000971944822	
6000	-1930.815877922069	-1881.6371845654037	-49.17869335666527	-1881.6371845654037	100.47605734620386	-41.59188553128909	0.008818576007273541	0.6935780492929516	-0.6790525463940498	100.47605734620386	0.0013137943337137481	
7000	-1909.2096419900029	-1854.645409844787	-54.564232145215755	-1854.645409844787	100.82635813308296	-46.06494998536417	0.007024328274676056	0.8583386174841545	-1.5915268808694454	100.82635813308296	9.719144912680287E-4	
8000	-1906.0134532522006	-1851.8965930700945	-54.11686018210608	-1851.8965930700945	100.79054908088317	-45.73337785190878	0.016389998052104195	0.516681832881543	-1.4757270512151681	100.79054908088317	8.852253244717088E-4	
9000	-1907.059000377572	-1853.5917034944882	-53.46729688308377	-1853.5917034944882	99.68607741640616	-46.13665547447645	0.008712646850149013	0.2497156875177821	-0.4228861296251855	99.68607741640616	9.411053743554455E-4	
10000	-1908.4253567986755	-1854.6602421899497	-53.76511460872583	-1854.6602421899497	100.74158230972147	-45.53167933291532	0.015549688904794249	0.4081020057110594	-1.3256799968283746	100.74158230972147	8.535899914877315E-4	
11000	-1907.1826909678787	-1854.7204812638854	-52.46220970399333	-1854.7204812638854	100.40832055834875	-44.995211715626	0.017294544165807106	0.31890723853126896	-0.5592427093851946	100.40832055834875	9.013901825171513E-4	
12000	-1905.0254644351471	-1852.6963771775795	-52.329087257567565	-1852.6963771775795	100.3158270283814	-44.99604720222824	0.02035718802521676	0.15899051761765143	-0.4252847763571865	100.3158270283814	0.0010168657355645566	
13000	-1908.1714863510051	-1855.5076881674563	-52.66379818354879	-1855.5076881674563	99.34819690166364	-44.68055699392017	0.019311526562643854	0.18646621989233567	-1.0754859106464814	99.34819690166364	9.30262028969103E-4	
14000	-1907.3229273120755	-1852.6507500020975	-54.67217730997806	-1852.6507500020975	99.84599423502995	-47.49119512706317	0.018445624694810953	0.6385702335141265	-0.27322690393274884	99.84599423502995	9.411130821902643E-4	
15000	-1909.6889973269097	-1857.3494221316475	-52.33957519526209	-1857.3494221316475	99.87990603651996	-45.177183443506536	0.017563304388475368	0.1275396616027504	-0.25463647277342005	99.87990603651996	8.723250309776316E-4	
16000	-1905.9421400015099	-1852.1512115668797	-53.790928434630054	-1852.1512115668797	99.65156179573053	-46.414563438614124	0.019263393546367188	0.339540036028156	-0.46860971703379384	99.65156179573053	8.713438546110396E-4	
17000	-1907.905178241197	-1853.966702178982	-53.93847606221526	-1853.966702178982	99.29025270161186	-45.79744697544987	0.012031802502785946	0.3981664736744692	-1.233273807783247	99.29025270161186	8.179896662445628E-4	
18000	-1908.901132864884	-1854.2398412133036	-54.6612916515802	-1854.2398412133036	99.1717990752932	-46.15591147658292	0.009617827354866748	0.3333960580009732	-1.5976248960151445	99.1717990752932	8.324387047724133E-4	
19000	-1905.5348106130718	-1853.2576699783326	-52.27714063473911	-1853.2576699783326	99.72192425846046	-44.98894176704672	0.011929391999427703	0.1607268142829291	-0.38044358871025585	99.72192425846046	9.77833635655171E-4	
20000	-1907.413017582725	-1856.1003459551598	-51.31267162756514	-1856.1003459551598	99.91841033365024	-44.165811248628145	0.02142580974639677	0.1875702610927498	-0.23910509995485668	99.91841033365024	0.001189863087427602	
21000	-1908.338998609488	-1854.5990036014682	-53.73999500801987	-1854.5990036014682	100.05989640507465	-46.59927321771127	0.020451740110770663	0.19722554108435678	-0.23296651132646123	100.05989640507465	8.473089779441401E-4	
22000	-1906.5463521880883	-1853.9101374609972	-52.63621472709121	-1853.9101374609972	100.01988078774414	-45.501877604021686	0.022677752246739034	0.38927552033243645	-0.2265818440873827	100.01988078774414	0.0010297015782514958	
23000	-1905.69571236322	-1853.3646376171625	-52.33107474605744	-1853.3646376171625	99.80082144774005	-45.118183923069836	0.010049531923924928	0.5552413453710252	-0.3051355440054678	99.80082144774005	9.929484244110929E-4	
24000	-1907.9292277350953	-1854.1353487148995	-53.7938790201958	-1854.1353487148995	99.23228775372046	-45.481568202393774	0.015512419234628611	0.40869587774816446	-1.4045555388198934	99.23228775372046	9.574751424623054E-4	
25000	-1905.4073876297075	-1852.4590273513675	-52.94836027834012	-1852.4590273513675	99.80217486672355	-45.73654408000156	0.009230359751364695	0.4473637313975159	-0.3040609193564201	99.80217486672355	0.0010010377833160856	
26000	-1904.2988808470063	-1851.0360889797607	-53.2627918672456	-1851.0360889797607	100.42074034693856	-45.77520035653478	0.00873155747224319	0.3216960747003561	-0.579836231728684	100.42074034693856	0.0010089139019944442	
27000	-1906.7066231998026	-1854.6079388539774	-52.09868434582516	-1854.6079388539774	100.37491117977955	-44.68402092875092	0.012127340688689914	0.5698299919625256	-0.5069081380921081	100.37491117977955	9.364835943410169E-4	
28000	-1906.4071947272982	-1853.7180299142783	-52.68916481301993	-1853.7180299142783	100.0567438543395	-45.54917845138246	0.017251974217455876	0.3703469162152073	-0.2322310826553325	100.0567438543395	8.348432760095527E-4	
