#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:sequence_data" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:sequence_data" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:sequence_data" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sequence_data">
#                <taxonset id="TaxonSet.sequence_data" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sequence_data" name="distribution" x="@birthRate2.t:sequence_data">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="ClockPrior.c:sequence_data" name="distribution">
#            <parameter id="clockRate.c:sequence_data" name="x">1.0</parameter>
#            <Uniform id="Uniform.01" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sequence_data" name="distribution" x="@relativeDeathRate2.t:sequence_data">
#            <Uniform id="Uniform.02" name="distr"/>
#        </prior>
#        <distribution id="all.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:sequence_data">
#            <taxonset id="all" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t14" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t15" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t16" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t10" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t11" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t12" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t13" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t9" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t21" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t20" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t23" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t22" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t25" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t24" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">100.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="sigma">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@sequence_data" id="treeLikelihood.sequence_data" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:sequence_data">
#            <siteModel id="SiteModel.s:sequence_data" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequence_data" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequence_data" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequence_data" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequence_data" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:sequence_data" id="StrictClock.c:sequence_data" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	logP(mrca(all))	mrcatime(all)	clockRate	
0	-27052.20784882069	-7919.520988339413	-19132.686860481277	-7919.520988339413	2.2080645526628	0.9719632226803352	1.0	0.5959046081214352	-19126.751068424976	2.2080645526628	1.0	
10000	-3680.778595136606	-3643.137263348079	-37.64133178852667	-3643.137263348079	99.73788954992331	-30.370381380820994	0.020566140959624092	0.9883489692541495	-0.3631951287235378	99.73788954992331	0.06052052929203774	
20000	-3675.5205479770157	-3640.2074805626253	-35.31306741439029	-3640.2074805626253	99.51665772737435	-27.71228127774957	0.013879412972769385	0.9940193692105693	-0.6930308576585811	99.51665772737435	0.06034625414622655	
30000	-3662.761004363348	-3627.589137334455	-35.17186702889351	-3627.589137334455	100.24823145137626	-27.91508269036192	0.017349508397501115	0.9928871133202389	-0.3490290595494525	100.24823145137626	0.06801353643245567	
40000	-3669.5808730084104	-3632.7921098906213	-36.78876311778919	-3632.7921098906213	99.31978181356745	-28.72982292385514	0.005868226836951247	0.9965470946143267	-1.1511849149519149	99.31978181356745	0.057041295130704425	
50000	-3681.8952471443704	-3641.7977358052963	-40.097511339074096	-3641.7977358052963	100.71419471685516	-31.943816520279583	0.009262156458711859	0.9955248451378358	-1.2459395398123747	100.71419471685516	0.05801111669858218	
60000	-3683.1786090236787	-3646.2132272315685	-36.96538179211032	-3646.2132272315685	100.81055925013314	-28.517822564530665	0.024018674440168027	0.9909640771800845	-1.5398039485975197	100.81055925013314	0.06670171458250089	
70000	-3673.415421164268	-3634.2666583958994	-39.148762768368535	-3634.2666583958994	100.31237388782294	-31.820061245154427	0.011625106950901833	0.9943624972838682	-0.42094624423196875	100.31237388782294	0.05382443157584203	
80000	-3671.174416683658	-3631.281600667945	-39.892816015712825	-3631.281600667945	99.20119158809167	-31.48307962621496	0.009299692319939417	0.9964039748907799	-1.5019811105157292	99.20119158809167	0.05920778146828331	
90000	-3665.639042562643	-3629.859281565998	-35.77976099664497	-3629.859281565998	100.79652426751163	-27.377312547548225	0.012377106082245385	0.9947041938113506	-1.4946931701146005	100.79652426751163	0.06067973902592585	
100000	-3681.6196522853265	-3632.852548318362	-48.76710396696446	-3632.852548318362	99.47795794895636	-41.088501529221894	0.051356474695908885	0.9812130587495113	-0.7708471587604308	99.47795794895636	0.04355132386927363	
110000	-3682.860002004562	-3636.3940940897382	-46.465907914823894	-3636.3940940897382	100.31926170082833	-39.128505215965426	0.01693176311012758	0.9798327590055063	-0.4296474198763299	100.31926170082833	0.036890315485853926	
120000	-3683.3298933911856	-3635.0119214367096	-48.31797195447589	-3635.0119214367096	99.13966661216452	-39.704078246400066	0.02986335174448451	0.9786190758074903	-1.706138429093682	99.13966661216452	0.03754386805955712	
130000	-3680.887764195568	-3627.8508359568114	-53.03692823875663	-3627.8508359568114	99.6365851751008	-45.63924093721674	0.06456907297034656	0.963667903455352	-0.4899320225577523	99.6365851751008	0.03748144318673604	
140000	-3686.479898622426	-3631.8210493769257	-54.65884924550007	-3631.8210493769257	100.70031815933815	-46.54441156527565	0.009176005750279	0.990561459154135	-1.2066824012422837	100.70031815933815	0.02514654012860033	
150000	-3279.2782578320353	-3162.0766333493248	-117.20162448271053	-3162.0766333493248	99.45885330440228	-109.48239835877101	0.029987019256686214	0.42212138381488085	-0.811470844957385	99.45885330440228	0.0011833837355510204	
160000	-3273.6212862573216	-3153.5911039762796	-120.03018228104207	-3153.5911039762796	100.90722527506504	-111.25052024998152	0.021656549399187954	0.36577103986192333	-1.87190675207842	100.90722527506504	9.674849598174884E-4	
170000	-3268.6838177075024	-3149.088248304808	-119.59556940269421	-3149.088248304808	100.32775985726758	-112.24716972299521	0.013424290114930994	0.6390570364534892	-0.4406444007168562	100.32775985726758	0.0010394756596860397	
180000	-3278.255927757842	-3158.7124495366124	-119.54347822122945	-3158.7124495366124	100.54689923182436	-111.81173405006244	0.028060951510084413	0.10648251960738736	-0.8239888921848667	100.54689923182436	0.0010480759640924815	
190000	-3270.482162771414	-3152.8075313539907	-117.67463141742324	-3152.8075313539907	99.93996368612942	-110.53387606783005	0.030391199980756425	0.1744335856192518	-0.2330000706110617	99.93996368612942	0.0010121492882248554	
200000	-3268.2156589933797	-3151.515653220416	-116.70000577296366	-3151.515653220416	100.31251566624735	-109.37112705803675	0.029865475188349304	0.05470237195122367	-0.4211234359447775	100.31251566624735	0.0010837601892922653	
