#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:sequence_data" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:sequence_data" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:sequence_data" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sequence_data">
#                <taxonset id="TaxonSet.sequence_data" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sequence_data" name="distribution" x="@birthRate2.t:sequence_data">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sequence_data" name="distribution" x="@relativeDeathRate2.t:sequence_data">
#            <Uniform id="Uniform.01" name="distr"/>
#        </prior>
#        <prior id="UCMeanRatePrior.c:sequence_data" name="distribution">
#            <parameter id="ucedMean.c:sequence_data" name="x">1.0</parameter>
#            <Uniform id="Uniform.02" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="all.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:sequence_data">
#            <taxonset id="all" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t14" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t15" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t16" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t10" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t11" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t12" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t13" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t9" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t21" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t20" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t23" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t22" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t25" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t24" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">100.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="sigma">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@sequence_data" id="treeLikelihood.sequence_data" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:sequence_data">
#            <siteModel id="SiteModel.s:sequence_data" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequence_data" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequence_data" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequence_data" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequence_data" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucedMean.c:sequence_data" id="ExponentialRelaxedClock.c:sequence_data" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:sequence_data">
#                <Exponential id="Exponential.c:sequence_data" name="distr">
#                    <parameter id="UCExpLambda.c:sequence_data" name="mean">1.0</parameter>
#                </Exponential>
#                <rateCategories dimension="48" id="expRateCategories.c:sequence_data" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2	monophyletic(all)	logP(mrca(all))	mrcatime(all)	ucedMean	
0	-25654.80994017336	-6867.086147601792	-18787.723792571567	-6867.086147601792	3.10455303719285	0.5399817815704554	1.3007092050674238	1.0150134485559963	-3.1349616955935096	1.0	0.5	1	-18777.681075596993	3.10455303719285	1.0	
10000	-2649.1634026544984	-2600.9978076540347	-48.16559500046374	-2600.9978076540347	100.06393023257215	0.0034117508596768226	0.0011510066608165692	0.9251621367938418	-41.02387421956342	0.032733450492146335	0.9821840756387619	1	-0.23396550191818508	100.06393023257215	0.04179077324832481	
20000	-2341.89629954777	-2285.6287219894066	-56.267577558363506	-2285.6287219894066	99.54707912813156	0.002556415276264345	1.0026323023939311E-4	0.6543308853305717	-48.7237562943885	0.002111282063606264	0.9953936234196027	1	-0.6360659849928685	99.54707912813156	0.018334215738423084	
30000	-2324.294862110394	-2272.9119515398265	-51.38291057056784	-2272.9119515398265	100.50752013044676	0.002464722542989626	1.621102849841948E-4	0.8087840265879195	-43.73421057332357	0.02169383834551194	0.9901602923802483	1	-0.7409447182621282	100.50752013044676	0.012757821348158772	
40000	-2331.201890972965	-2266.667003219875	-64.5348877530899	-2266.667003219875	100.28782546928349	0.002291705690563372	1.1137236351294138E-4	1.0132309931620098	-57.23565411992652	0.02007510483271815	0.9556821911908985	1	-0.39147835418125	100.28782546928349	0.009416458963773943	
50000	-2338.4594045270806	-2268.0161856314407	-70.44321889563992	-2268.0161856314407	100.27749198838072	0.0021781354346581076	6.420740794815035E-5	0.8955406058340053	-63.15566865678208	0.04160104488655722	0.9694697549739214	1	-0.37979495987569556	100.27749198838072	0.009336665860994606	
60000	-2316.6690574859467	-2246.583736603071	-70.08532088287595	-2246.583736603071	99.12185690936174	0.0020130771434161907	5.344458974465476E-5	0.9059998001658156	-61.409503675977646	0.02774320643869127	0.9233287505359747	1	-1.7680619279161616	99.12185690936174	0.007216935989875721	
70000	-2312.5763135787647	-2241.3398123264487	-71.23650125231586	-2241.3398123264487	99.89814427735564	0.002225448402024694	3.879664428417437E-5	0.9191271292742451	-64.08220544421819	0.010635938838892772	0.9554696655047189	1	-0.2465405291155366	99.89814427735564	0.006765996331223309	
80000	-2312.890871446216	-2249.2203510692516	-63.67052037696415	-2249.2203510692516	100.56845826654931	0.0021426307332181012	2.9458857031557374E-5	0.6325763619141693	-55.89068414372078	0.01740824473875745	0.9680466426235175	1	-0.8720809542612289	100.56845826654931	0.00829189835099477	
90000	-2310.0605628362478	-2248.4522501020547	-61.60831273419305	-2248.4522501020547	99.22766716207876	0.0025081410697568494	1.3626662139338769E-4	0.949596556766381	-53.28177007750323	0.013402233613976357	0.982468099814919	1	-1.4187873777076816	99.22766716207876	0.014170023908320986	
100000	-2307.634131195713	-2244.331756371818	-63.30237482389517	-2244.331756371818	99.68509850778818	0.002117774937145355	9.416909293603319E-5	0.9665465831276165	-55.97050229267385	0.01481107934933013	0.9853214510181296	1	-0.4241172522391854	99.68509850778818	0.010505092348355696	
110000	-2313.4390853837485	-2247.534307908765	-65.90477747498352	-2247.534307908765	99.91169885947133	0.0022659103264290573	6.6103261672973E-5	0.8259152180495289	-58.75563666051933	0.013689724576138344	0.9606223563760893	1	-0.24138553548205555	99.91169885947133	0.008596878847709724	
120000	-2318.7917091045624	-2246.2529138531117	-72.53879525145088	-2246.2529138531117	100.7909605244676	0.001699867928743953	2.1279648237402407E-5	0.8427506890324846	-64.15401151729192	0.024286359081350593	0.9648245747325125	1	-1.4770284551768271	100.7909605244676	0.0051923691560768585	
130000	-2331.815689188505	-2248.840635587521	-82.97505360098422	-2248.840635587521	99.1588968590532	0.0020084490335555306	1.553828363687481E-5	0.8162901599453258	-74.42659798193621	0.0309461947146934	0.7958199493362532	1	-1.6407003400658708	99.1588968590532	0.004651271288970728	
140000	-2333.197963576166	-2255.4545789131307	-77.74338466303517	-2255.4545789131307	99.93192524459987	0.0019555354910910983	2.2075488400194305E-5	0.83735436829338	-70.60056968676274	0.03975358032314702	0.9244852781658472	1	-0.2350596972903032	99.93192524459987	0.005062633595979746	
150000	-2325.3280415530653	-2246.303900197634	-79.0241413554314	-2246.303900197634	99.67671236736898	0.001848180702913216	1.9002136010128133E-5	0.9087098961732832	-71.6815649369802	0.013846939635914641	0.9626804443070829	1	-0.43482113946906853	99.67671236736898	0.004593347087734485	
160000	-2323.904546428701	-2240.7486597016864	-83.1558867270148	-2240.7486597016864	100.17315678342895	0.0015860483207960799	7.665453971272878E-6	0.8102846105892727	-75.96237355209301	0.004763268956082928	0.9804167781903643	1	-0.28575789593964845	100.17315678342895	0.0037744621708678794	
