#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:sequence_data" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:sequence_data" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:sequence_data" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sequence_data">
#                <taxonset id="TaxonSet.sequence_data" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sequence_data" name="distribution" x="@birthRate2.t:sequence_data">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sequence_data" name="distribution" x="@relativeDeathRate2.t:sequence_data">
#            <Uniform id="Uniform.01" name="distr"/>
#        </prior>
#        <prior id="UCMeanRatePrior.c:sequence_data" name="distribution">
#            <parameter id="ucedMean.c:sequence_data" name="x">1.0</parameter>
#            <Uniform id="Uniform.02" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="all.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:sequence_data">
#            <taxonset id="all" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t14" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t15" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t16" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t10" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t11" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t12" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t13" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t9" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t21" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t20" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t23" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t22" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t25" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t24" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">100.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="sigma">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@sequence_data" id="treeLikelihood.sequence_data" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:sequence_data">
#            <siteModel id="SiteModel.s:sequence_data" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequence_data" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequence_data" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequence_data" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequence_data" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucedMean.c:sequence_data" id="ExponentialRelaxedClock.c:sequence_data" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:sequence_data">
#                <Exponential id="Exponential.c:sequence_data" name="distr">
#                    <parameter id="UCExpLambda.c:sequence_data" name="mean">1.0</parameter>
#                </Exponential>
#                <rateCategories dimension="48" id="expRateCategories.c:sequence_data" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2	monophyletic(all)	logP(mrca(all))	mrcatime(all)	ucedMean	
0	-26001.65896200883	-6388.7796064298345	-19612.879355578996	-6388.7796064298345	0.9766349281579212	1.0250512414206652	1.0524071901598768	0.8068881396281443	5.507851355258835	1.0	0.5	1	-19611.479451655272	0.9766349281579212	1.0	
10000	-2482.5714899555187	-2410.9350949193235	-71.63639503619507	-2410.9350949193235	100.49288649561117	0.0024318732571279077	1.2703259783268644E-4	1.0846612796776276	-64.01697420945648	0.01733485873747385	0.9209371382607248	1	-0.7116655477564546	100.49288649561117	0.009407479066428559	
20000	-2452.669000566377	-2377.3563940815316	-75.3126064848453	-2377.3563940815316	100.09097954180578	0.0021167989082495633	5.627589529610603E-5	1.0776555487579982	-68.16250529916407	0.03722175024521508	0.860831938809762	1	-0.24234590669910663	100.09097954180578	0.009560595955773986	
30000	-2464.028936644151	-2376.525677288576	-87.50325935557498	-2376.525677288576	99.08693678320986	0.001867836195099641	4.977976407549208E-5	1.3509937781525219	-78.70234384823782	0.016464626880678426	0.9223204591258897	1	-1.8931602283550268	99.08693678320986	0.007866979864465952	
40000	-2460.38768150669	-2370.8697851510246	-89.51789635566527	-2370.8697851510246	100.47502175204134	0.0017251533070321982	3.961670075671468E-5	1.1718007664043173	-81.93305839421356	0.049163275590956595	0.7826517717318245	1	-0.6770826824695815	100.47502175204134	0.005810763671901782	
50000	-2456.6134544141437	-2370.305045528975	-86.30840888516857	-2370.305045528975	100.11210288396934	0.0016788661812153227	1.5417023500577472E-5	1.1010865350076713	-79.14972814035322	0.02164271793875774	0.9090623513973767	1	-0.250925465833215	100.11210288396934	0.0047484866827836245	
60000	-2465.051921132361	-2366.42672235087	-98.62519878149065	-2366.42672235087	99.6350199667171	0.0014282685739480997	6.939650906090213E-6	1.1114577645727919	-91.22523130047341	0.03952012123642328	0.7125142142940748	1	-0.49221220203510757	99.6350199667171	0.0031505098359220565	
70000	-2465.1865846258906	-2371.7417334059087	-93.44485121998177	-2371.7417334059087	100.44695439084595	0.0016549705428196325	8.522618545094576E-6	1.0293824144835455	-85.91176813336196	0.027569615458739635	0.836184924799806	1	-0.6253278076376682	100.44695439084595	0.0025031409272069025	
80000	-2469.3500871029946	-2367.808270357061	-101.54181674593372	-2367.808270357061	99.75889649645775	0.0012445983728627845	5.332448130299661E-6	1.0119417376890203	-94.29200831546616	0.04359315356750383	0.4794548724457117	1	-0.3420531514854216	99.75889649645775	0.0019596283410604973	
90000	-2465.2620743856173	-2365.0756160021383	-100.18645838347923	-2365.0756160021383	99.33896431947572	0.0014390428806987413	5.686201737720151E-6	1.0756917845148048	-92.17897540999998	0.012050836076101565	0.8549309535931265	1	-1.09972769449712	99.33896431947572	0.0020162428742753107	
100000	-2471.8510496941253	-2363.500428380018	-108.35062131410743	-2363.500428380018	99.69720335130609	0.0011898193472100567	3.1934039313680635E-6	1.1002240961489038	-101.03370306156003	0.021006100180280464	0.4455045652476598	1	-0.409162973565258	99.69720335130609	0.0016951687375804383	
110000	-2475.3252256684386	-2367.0974683014883	-108.22775736695017	-2367.0974683014883	99.50970647175487	0.0010409880738159437	1.6330432016574305E-6	0.9669350942017365	-100.61343524764519	0.030442804175710558	0.41635857600177073	1	-0.7065668403228482	99.50970647175487	0.0013529693470721931	
120000	-2485.2569002144824	-2373.3878137774573	-111.86908643702492	-2373.3878137774573	99.69530386915388	9.136587442884783E-4	1.4894412178699613E-6	1.0619341290213957	-104.54986034109285	0.02412520014077844	0.1272186913960459	1	-0.41147081694992516	99.69530386915388	0.0013012015717762282	
130000	-2488.802465417508	-2371.3407311597616	-117.46173425774614	-2371.3407311597616	99.94135133757533	7.201214244523277E-4	1.1143564841594141E-6	1.0890941653736739	-110.32130829491088	0.019063988437874862	0.24849525208721118	1	-0.2326706838531339	99.94135133757533	0.0013232873815557746	
140000	-2477.7361803698723	-2366.8303758969005	-110.9058044729717	-2366.8303758969005	99.44661720545005	9.464602553671345E-4	1.8292425318077245E-6	1.0524642388770622	-103.15979280673702	0.026873604545257813	0.10155069289011116	1	-0.8382563872525446	99.44661720545005	0.0015413848163767043	
150000	-2492.031682134539	-2373.616257311504	-118.41542482303515	-2373.616257311504	99.14907774412573	8.434653685613814E-4	9.59211992901854E-7	1.0285348701960724	-109.83374082032398	0.006533008625220009	0.80022079379011	1	-1.6739287237290283	99.14907774412573	0.0010790508750086554	
160000	-2486.7131007053076	-2368.3344167765517	-118.37868392875588	-2368.3344167765517	100.22013136627504	8.753239935797889E-4	1.1139526039489437E-6	0.9996288695133735	-111.14822166029278	0.006597455553181966	0.6865895851634884	1	-0.32270698948095977	100.22013136627504	0.001067659894017788	
170000	-2490.3191074344772	-2369.77291398126	-120.54619345321734	-2369.77291398126	100.33996469306682	7.073213231237787E-4	8.743653583965929E-7	1.1448378749922221	-113.18149483652644	0.009028825132782019	0.5719990463096459	1	-0.4569433377087594	100.33996469306682	9.214370968695904E-4	
180000	-2487.0154318788495	-2367.948330140393	-119.06710173845667	-2367.948330140393	100.43086757176076	7.391139465192386E-4	8.883343468862066E-7	1.166681096136396	-111.56226137803978	0.03976565207342562	0.10701434074154535	1	-0.5970850814347497	100.43086757176076	8.480570829024682E-4	
190000	-2483.9170438120623	-2364.935809425853	-118.98123438620914	-2364.935809425853	100.19214164626277	6.808697866355139E-4	7.749124455934667E-7	1.1787792150728962	-111.77385093012514	0.01929271394773898	0.38673179643745687	1	-0.29962817710186146	100.19214164626277	8.447494233374127E-4	
200000	-2478.159009293084	-2365.203370475499	-112.95563881758511	-2365.203370475499	100.7180625403547	9.049479534355438E-4	1.720339730731122E-6	1.1801541339239647	-104.79086456223698	0.03660826026680049	0.33093816110657603	1	-1.257018976366001	100.7180625403547	0.0010879170372153938	
210000	-2480.9318093923057	-2367.2196712772884	-113.71213811501745	-2367.2196712772884	99.8022616367618	9.963587713884708E-4	2.220415579582204E-6	1.1843332761716518	-106.50039056279834	0.04783478117346825	0.3232437911422544	1	-0.3039922732369732	99.8022616367618	0.001287676442615479	
220000	-2488.820364744047	-2375.742219248124	-113.0781454959227	-2375.742219248124	99.66314846994442	8.749302797320186E-4	1.002534156940744E-6	1.0223602351707728	-105.71766095769426	0.01563559917649149	0.7285880052260291	1	-0.45272925924630175	99.66314846994442	0.0012594558481851437	
230000	-2482.0835008498766	-2362.91286613526	-119.17063471461663	-2362.91286613526	99.38818380047906	7.327411714918711E-4	6.80328300775535E-7	1.0081502258049733	-111.28844995899726	0.013703898262244992	0.5201477445502984	1	-0.9744294766372325	99.38818380047906	0.0010782986910105455	
240000	-2485.480499200497	-2367.6134188878855	-117.8670803126115	-2367.6134188878855	99.26116242984835	6.523207900891119E-4	6.678812366348372E-7	0.9475007759773526	-109.64177177084947	0.02270640005861642	0.2592440702595796	1	-1.317553262779902	99.26116242984835	0.0012571535646499724	
250000	-2492.2209616672667	-2375.9487712394302	-116.2721904278365	-2375.9487712394302	99.56256122026616	7.504590150352517E-4	7.589823112305733E-7	1.2191036976935623	-108.75593842417958	0.03356718102187618	0.06868215631005598	1	-0.608496724674787	99.56256122026616	0.0012151507921890324	
260000	-2492.1079390248674	-2370.434940793071	-121.67299823179651	-2370.434940793071	99.83890303957901	6.520814612012126E-4	1.2164313372406677E-6	1.2661322044986048	-114.48754713885589	0.011152633260315556	0.441043827347786	1	-0.27769581395849224	99.83890303957901	0.0011153127045652365	
