#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:sequence_data" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:sequence_data" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:sequence_data" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sequence_data">
#                <taxonset id="TaxonSet.sequence_data" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sequence_data" name="distribution" x="@birthRate2.t:sequence_data">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sequence_data" name="distribution" x="@relativeDeathRate2.t:sequence_data">
#            <Uniform id="Uniform.01" name="distr"/>
#        </prior>
#        <distribution id="all.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:sequence_data">
#            <taxonset id="all" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t14" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t15" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t16" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t10" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t11" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t12" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t13" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t9" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t21" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t20" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t23" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t22" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t25" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t24" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">100.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="sigma">0.5</parameter>
#            </Normal>
#        </distribution>
#        <prior id="ucldStdevPrior.c:sequence_data" name="distribution">
#            <parameter id="ucldStdev.c:sequence_data" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.03" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <prior id="MeanRatePrior.c:sequence_data" name="distribution">
#            <parameter id="ucldMean.c:sequence_data" name="x">1.0</parameter>
#            <Uniform id="Uniform.02" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@sequence_data" id="treeLikelihood.sequence_data" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:sequence_data">
#            <siteModel id="SiteModel.s:sequence_data" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequence_data" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequence_data" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequence_data" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequence_data" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:sequence_data" id="RelaxedClock.c:sequence_data" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:sequence_data">
#                <LogNormal S="@ucldStdev.c:sequence_data" id="LogNormalDistributionModel.c:sequence_data" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.04" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="48" id="rateCategories.c:sequence_data" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	logP(mrca(all))	mrcatime(all)	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	
0	-30036.77064649875	-12213.108680650352	-17823.661965848398	-12213.108680650352	5.667662624749986	-20.16803400591016	1.0	0.5	-17797.405540708627	5.667662624749986	1.0	0.1	0.9887507213276636	0.011073815100203268	0.10374409613479843	
10000	-4373.350120601124	-4318.362104828452	-54.98801577267181	-4318.362104828452	100.60709331087583	-43.20801857573299	0.023278012114869344	0.9751611240477894	-0.9629159288650706	100.60709331087583	0.10013176357717331	1.4372524679029546	0.007638382807085994	0.008059139291167729	1.308400848463463	
20000	-4379.189343970569	-4325.169104470924	-54.02023949964534	-4325.169104470924	99.74877978998117	-42.87219753259309	0.014947872044910781	0.972543076344237	-0.3520145404885365	99.74877978998117	0.1020099151296469	1.4300903734053847	0.007717279004116206	0.005957585475004468	1.139067612234956	
30000	-4371.59106365805	-4315.48796307832	-56.103100579730324	-4315.48796307832	100.07675348463776	-44.88861802649988	0.026176964883561495	0.9706729392026681	-0.23757354745280598	100.07675348463776	0.09806934077769587	1.4917473152949055	0.007746707131420922	0.0072810556098316945	1.2559296363193049	
40000	-4380.130791164631	-4321.797812298824	-58.33297886580613	-4321.797812298824	98.79915435269967	-44.25724475344797	0.02465970974470937	0.9741823808115453	-3.109851889925007	98.79915435269967	0.10861348087183154	1.487980704683759	0.007573478122763303	0.010699702158244503	1.5037357223178822	
50000	-4391.088683446901	-4330.523216350043	-60.56546709685757	-4330.523216350043	100.98889154435558	-47.26161455570708	0.011441562345681168	0.9806509632708914	-2.181604325640662	100.98889154435558	0.09015641425130391	1.5414855153313172	0.007470361056900457	0.002228471534967042	0.9624027697954293	
60000	-4383.9707142368325	-4323.331370874043	-60.63934336278943	-4323.331370874043	99.17458388212138	-47.786719833914425	0.010836817762501338	0.9894128061128605	-1.5884148879523434	99.17458388212138	0.08258326851212053	1.5902267112521138	0.0072336460886456245	0.002156987682604457	1.1598168220843785	
70000	-4377.21916761713	-4314.298365631949	-62.920801985180155	-4314.298365631949	99.63028346611947	-51.10721715891781	0.011139448826264324	0.9910509685040185	-0.4991719834940007	99.63028346611947	0.08201897016755735	1.607500123064536	0.007096399497615749	0.00600525797513285	1.4350220470523998	
80000	-4379.109129600892	-4313.8598084616115	-65.24932113928054	-4313.8598084616115	99.83709083410477	-53.57788018259296	0.023228881558664583	0.9801714922982885	-0.2788701453100859	99.83709083410477	0.1003756672888623	1.634427732926553	0.007246959716771828	0.012271244866522422	1.664703738260198	
90000	-4385.774690371397	-4317.225118918432	-68.54957145296527	-4317.225118918432	100.30439531954639	-56.68850451324815	0.012258285856199083	0.9771615080099121	-0.4111043737682216	100.30439531954639	0.10000564013163732	1.6542283530102109	0.007215060462677002	0.004807380912736937	1.473857362795031	
100000	-4385.638944830267	-4315.7370048121575	-69.90194001810939	-4315.7370048121575	99.19630024387888	-56.69922762736626	0.01840878366900157	0.9579698063920211	-1.5176579486230213	99.19630024387888	0.1088199695185605	1.7355700342685485	0.006764908985597583	0.0032668094154202553	1.401353792878841	
110000	-4381.8890746858115	-4313.03334629248	-68.85572839333184	-4313.03334629248	99.68729793132158	-56.52211655644024	0.0031425489092346544	0.9942174986419945	-0.421356520156253	99.68729793132158	0.09499184431892355	1.8145167036476368	0.006452582333922795	0.0014684180358816945	1.1011097558801752	
120000	-4392.767724951	-4321.936095661202	-70.83162928979795	-4321.936095661202	100.18067457516433	-58.84774416418125	0.006924781401942133	0.9833951701395445	-0.2910779568663511	100.18067457516433	0.07134946720239933	1.738258635119017	0.006888028412514235	0.00205486868537971	1.5134038288733571	
130000	-4397.1018868161145	-4327.497013789564	-69.60487302654994	-4327.497013789564	100.18327644816033	-57.88249666779541	0.02187889717209107	0.9521194742655412	-0.292971865545258	100.18327644816033	0.06360308760859126	1.647133006412292	0.00620805946220319	0.00370756005111143	1.7402868623547507	
140000	-4395.465698303891	-4325.297359269671	-70.16833903422041	-4325.297359269671	100.35799296617884	-58.26741622895638	0.026933060632796386	0.9697072373374741	-0.4821092803117773	100.35799296617884	0.08044879769141326	1.6434788226796109	0.0068324041359774925	8.995695241278668E-4	1.0436087242869827	
150000	-4386.171526814471	-4311.057768800895	-75.11375801357582	-4311.057768800895	100.41898097585597	-62.94907707685206	0.027006691186386756	0.9639543984169107	-0.5768814689031747	100.41898097585597	0.07295395554217605	1.7018754535044194	0.006796889521301603	0.0013844543222307564	1.3280018836282812	
160000	-4389.181939156835	-4315.532093695643	-73.64984546119187	-4315.532093695643	99.87910723057605	-61.84903394754295	0.021330089834834105	0.9685180581556885	-0.2550214760427103	99.87910723057605	0.06989399826486846	1.6873401909001882	0.006185664643200984	7.226976288733097E-4	1.003399519136812	
170000	-4388.733710707477	-4316.434410586269	-72.2993001212077	-4316.434410586269	100.19424556059019	-60.67832005027167	0.005155214753755253	0.9886189636152402	-0.30125402826272163	100.19424556059019	0.05274651464897239	1.609329276836106	0.006231941316981813	5.032000748882513E-4	1.0253405789394585	
180000	-4385.679301897258	-4312.186552081353	-73.4927498159053	-4312.186552081353	100.33516120417688	-62.020240409317	0.024586168234137628	0.91375635105656	-0.450457418215326	100.33516120417688	0.0579340817932157	1.5071780041828577	0.006909797445542884	0.0011287015954774724	1.1001866742778077	
190000	-4378.016774339908	-4313.132392713542	-64.88438162636643	-4313.132392713542	99.96252799770988	-53.7262234244355	0.018645804892535086	0.9764819273192844	-0.22859965455598827	99.96252799770988	0.06695924235650627	1.4755801416545984	0.007039348844594556	0.0016059390121727047	1.0873993554252133	
200000	-4387.174172582618	-4316.927235526215	-70.24693705640314	-4316.927235526215	100.5001547288903	-58.37814900496204	0.022692469798979778	0.945573470836245	-0.7261008583073746	100.5001547288903	0.05907258412768238	1.5484936071531588	0.006574762822103314	0.0028126813503858367	1.4520940265983793	
210000	-4384.7105549811085	-4319.606831090955	-65.10372389015319	-4319.606831090955	100.31434777007054	-53.46400830675395	0.008654561445252715	0.9892963513559524	-0.42342039374137	100.31434777007054	0.06967531202189248	1.573758860197525	0.006857477448027281	0.004487949939434379	1.4698443961210899	
220000	-4383.467084915188	-4311.761805818721	-71.70527909646749	-4311.761805818721	100.30858192151796	-60.37230096879223	0.022204916002189233	0.9601384588971383	-0.41623695722015464	100.30858192151796	0.04513770912533795	1.4712070470626348	0.006702476101548479	0.004779808747403517	2.027299665088086	
230000	-4380.247994688263	-4310.2434119737245	-70.00458271453874	-4310.2434119737245	100.45185411059994	-59.52161400477006	0.009758608123015947	0.9762638266987547	-0.6341356271768511	100.45185411059994	0.03461039904637707	1.1125102408687142	0.006692443125478914	0.0014439103813667848	1.3293422007170776	
