#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:sequence_data" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:sequence_data" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:sequence_data" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sequence_data">
#                <taxonset id="TaxonSet.sequence_data" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sequence_data" name="distribution" x="@birthRate2.t:sequence_data">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="ClockPrior.c:sequence_data" name="distribution">
#            <parameter id="clockRate.c:sequence_data" name="x">1.0</parameter>
#            <Uniform id="Uniform.01" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sequence_data" name="distribution" x="@relativeDeathRate2.t:sequence_data">
#            <Uniform id="Uniform.02" name="distr"/>
#        </prior>
#        <distribution id="all.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:sequence_data">
#            <taxonset id="all" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t14" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t15" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t16" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t10" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t11" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t12" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t13" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t9" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t21" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t20" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t23" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t22" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t25" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t24" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">100.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="sigma">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@sequence_data" id="treeLikelihood.sequence_data" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:sequence_data">
#            <siteModel id="SiteModel.s:sequence_data" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequence_data" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequence_data" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequence_data" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequence_data" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:sequence_data" id="StrictClock.c:sequence_data" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	logP(mrca(all))	mrcatime(all)	clockRate	
0	-27321.050431361655	-7933.341289702281	-19387.709141659376	-7933.341289702281	1.5470646100545693	5.385378765786977	1.0	0.5	-19386.18676514618	1.5470646100545693	1.0	
10000	-3859.568283831645	-3811.307156468154	-48.261127363491354	-3811.307156468154	100.48154173998114	-40.663815837176365	0.041257372007545444	0.9799738406467549	-0.689556247332854	100.48154173998114	0.04511091304719578	
20000	-3855.9980140284238	-3812.76647249668	-43.231541531743844	-3812.76647249668	99.18938903566998	-34.78381462913288	0.018705352073463542	0.9893299628076713	-1.5399716236288312	99.18938903566998	0.05038375950223027	
30000	-3865.1499452360345	-3819.66012151569	-45.4898237203442	-3819.66012151569	99.87570157193527	-38.325376890278605	0.04134089231785774	0.9880853887828155	-0.2566915510834548	99.87570157193527	0.05456881525255589	
40000	-3851.4782720727126	-3818.2991107030116	-33.17916136970107	-3818.2991107030116	99.53322371113472	-25.609854530380524	0.028532270985535832	0.9923591525952251	-0.6615515603384066	99.53322371113472	0.0851256050748206	
50000	-3848.7216617922695	-3820.4973519025807	-28.224309889689014	-3820.4973519025807	100.84793100874363	-19.652789266884174	0.004757913437432884	0.997924120696238	-1.6637653438227038	100.84793100874363	0.10406730481332636	
60000	-3843.0999909830607	-3814.796516671175	-28.30347431188557	-3814.796516671175	100.41567463784322	-20.824356871166515	0.03368354881967161	0.9918798475580299	-0.5713621617369191	100.41567463784322	0.1136582527938918	
70000	-3846.0771449663202	-3813.6927149679614	-32.384429998358705	-3813.6927149679614	99.39952167673101	-24.52973493329997	0.022780102673900536	0.9905482486338936	-0.9469397860765965	99.39952167673101	0.08647388847107222	
80000	-3847.7250859184182	-3818.471805326986	-29.253280591432144	-3818.471805326986	100.13512914661072	-22.083214187277797	0.005302066095068898	0.9986286321633282	-0.2623111251722118	100.13512914661072	0.09024497947609898	
90000	-3853.8409383734966	-3810.433571450312	-43.407366923184654	-3810.433571450312	100.80701005372909	-34.97128983791814	0.003033070065497373	0.9986286321633282	-1.5283218062843749	100.80701005372909	0.051753120849043585	
100000	-3864.8881356275306	-3819.643605739423	-45.244529888107735	-3819.643605739423	100.65278311396861	-37.25873166871576	0.02575437902567538	0.9888216053405681	-1.078042940409838	100.65278311396861	0.05262414825804254	
110000	-3866.904345002018	-3819.2544491664457	-47.64989583557229	-3819.2544491664457	99.66958494539762	-40.29800098732963	0.050258138646569216	0.9771257315007628	-0.4441395692605194	99.66958494539762	0.04726885292949846	
120000	-3847.8197381326145	-3808.8998929269687	-38.9198452056457	-3808.8998929269687	99.69943982865834	-31.605625740824983	0.013568017432494398	0.99425416117829	-0.4064641858385812	99.69943982865834	0.06079171870724686	
130000	-3856.973326361516	-3814.5813378728085	-42.39198848870739	-3814.5813378728085	100.12420078974483	-35.22759018473405	0.017469113744537985	0.987583964113323	-0.2566430249912079	100.12420078974483	0.053302174082297246	
140000	-3855.169297869877	-3814.661121750937	-40.50817611893988	-3814.661121750937	100.01186007312066	-33.37434816464416	0.007233747599401257	0.9948416568617602	-0.2260726753135821	100.01186007312066	0.04954371711407932	
150000	-3865.7576012611944	-3819.8928344298774	-45.86476683131709	-3819.8928344298774	98.76809083929066	-35.69601983921107	0.019277031095258065	0.9890209487736933	-3.2609917131238864	98.76809083929066	0.047996026586347905	
160000	-3866.009297408166	-3817.5692180536066	-48.4400793545594	-3817.5692180536066	99.99945127186213	-41.3065321207274	0.014817259797753097	0.9855238988749033	-0.22579195484986597	99.99945127186213	0.038158353876905256	
170000	-3864.036432367326	-3813.882171374459	-50.15426099286698	-3813.882171374459	99.56865063463154	-42.64858981123257	0.02148538575744483	0.9845437325633637	-0.5979159026522767	99.56865063463154	0.03521396428489827	
180000	-3872.0598277416784	-3813.0002476674654	-59.059580074212995	-3813.0002476674654	99.71956984749264	-51.768751301715525	0.028814559633227956	0.9261439114313358	-0.38307349351533426	99.71956984749264	0.02601086279360204	
190000	-3755.3167875956533	-3669.319016768938	-85.99777082671523	-3669.319016768938	100.36810726477766	-78.59321827832417	0.038499780431961776	0.7986626785273443	-0.4967972694089125	100.36810726477766	0.004997502582060261	
200000	-3679.2268102291396	-3573.163524016883	-106.06328621225653	-3573.163524016883	100.61648929905493	-98.16962146893118	0.01351338981622073	0.7509269522218704	-0.9859094643432135	100.61648929905493	0.0022817017536991275	
210000	-3680.385659686648	-3572.544127292077	-107.84153239457082	-3572.544127292077	100.8958738480763	-99.10280585960986	0.03755065792433816	0.24761837228295333	-1.8309712559788238	100.8958738480763	0.002279599469245732	
220000	-3673.4226474247243	-3568.3591840350864	-105.06346338963816	-3568.3591840350864	100.16207761436303	-97.87737845185607	0.02905973650697461	0.5160826799066294	-0.27832965879994825	100.16207761436303	0.0023334009032798175	
230000	-3679.4757764259607	-3572.6582197182047	-106.81755670775611	-3572.6582197182047	99.79439626041525	-99.59946428066678	0.016143103499593237	0.7379880611170221	-0.31033714810719104	99.79439626041525	0.002277695279309488	
240000	-3678.6184794966475	-3575.4670916063183	-103.15138789032933	-3575.4670916063183	100.42367017600621	-95.6588484226282	0.024560176707510057	0.7126339165729016	-0.5847841887189964	100.42367017600621	0.002652050973967273	
250000	-3677.7790906122973	-3572.6557539904757	-105.12333662182148	-3572.6557539904757	100.1769699118556	-97.92715329079026	0.028345780447341224	0.5393499887178994	-0.2884280520490804	100.1769699118556	0.0021798381907755706	
260000	-3678.2775640170817	-3568.886466828107	-109.39109718897471	-3568.886466828107	100.35427864507386	-102.0065238406371	0.027845878897871698	0.06857666080306092	-0.47681806935547	100.35427864507386	0.0020405162492568405	
270000	-3674.427172163142	-3569.0072144288615	-105.41995773428046	-3569.0072144288615	99.6868864917233	-98.0903309645229	0.02091255758019187	0.5234469594557108	-0.42187149077541386	99.6868864917233	0.0023686646447863414	
280000	-3676.26622235305	-3569.979826825511	-106.2863955275395	-3569.979826825511	100.35149219578301	-98.9057553685199	0.023855300956307106	0.4333131465358163	-0.47288488003745066	100.35149219578301	0.0024117978546112757	
290000	-3680.189973555409	-3575.757420363897	-104.43255319151173	-3575.757420363897	99.75192370909348	-97.175922867665	0.02764358230157736	0.4987774386112677	-0.34887504486460486	99.75192370909348	0.0023928497775139277	
300000	-3671.850049479086	-3567.1387141696746	-104.71133530941124	-3567.1387141696746	99.89865955194432	-97.55724890496012	0.03134095023081746	0.4275947809183865	-0.24633112546897937	99.89865955194432	0.002316884097354686	
310000	-3678.769035441349	-3570.890213386458	-107.87882205489075	-3570.890213386458	100.13921495706167	-100.70651381472452	0.02582766467811339	0.7906300680999291	-0.26455296118409155	100.13921495706167	0.002275281275904483	
320000	-3687.2526189178466	-3578.0768460013337	-109.17577291651267	-3578.0768460013337	99.83632554680081	-101.9886476316257	0.02417042284911841	0.3477996330376749	-0.2793700059048365	99.83632554680081	0.002029138922559887	
330000	-3676.9487084653047	-3571.081113370486	-105.86759509481867	-3571.081113370486	100.2284166661723	-98.62970011642128	0.026573612417795975	0.6448309352595836	-0.33013969941525734	100.2284166661723	0.002336223680789355	
340000	-3680.395214674562	-3576.459502942319	-103.93571173224272	-3576.459502942319	99.48627327345076	-96.27433480147387	0.033089185840784574	0.49670773952940994	-0.7536216517867163	99.48627327345076	0.0025974035348091287	
350000	-3679.094499517629	-3572.498919388182	-106.5955801294472	-3572.498919388182	100.59076497537667	-98.76402698555674	0.0399431738727299	0.24468828850758262	-0.923797864908327	100.59076497537667	0.002446269999687486	
360000	-3686.813247865651	-3572.6534435419644	-114.1598043236869	-3572.6534435419644	100.3213534355843	-106.81972163093637	0.013268186949065695	0.3575109448126876	-0.43232741376839245	100.3213534355843	0.0019821280803867893	
370000	-3681.590298382221	-3574.2745845104355	-107.31571387178559	-3574.2745845104355	100.45542905281027	-99.7673359958714	0.04369492689161688	0.1477392427134626	-0.640622596932054	100.45542905281027	0.0022890310604852387	
380000	-3683.7506480353527	-3577.662865293103	-106.0877827422494	-3577.662865293103	100.10806696918807	-98.93087917096355	0.030648003697249866	0.3874244407987544	-0.24914829230371918	100.10806696918807	0.002390155885850383	
390000	-3684.656006322123	-3579.4820901102453	-105.17391621187798	-3579.4820901102453	99.40506640099434	-97.33247760579947	0.013341321456408128	0.7410334913970786	-0.9336833270963747	99.40506640099434	0.0024705980303655535	
400000	-3676.5820320008015	-3570.998195782112	-105.58383621868956	-3570.998195782112	99.96943040402658	-98.44842058666673	0.025818075357333707	0.47744759004414544	-0.2276603530406834	99.96943040402658	0.0025463325257320917	
410000	-3676.9834759884907	-3572.0095580695947	-104.97391791889598	-3572.0095580695947	100.22084415503706	-97.74282700564105	0.013572254819675864	0.8712811165800839	-0.32333563427279033	100.22084415503706	0.00231232100803828	
420000	-3682.334996624163	-3575.3045212916345	-107.03047533252843	-3575.3045212916345	100.05472923899414	-99.8909381216998	0.03516064184664928	0.3609322153490054	-0.23178193184648319	100.05472923899414	0.0021086469204096305	
430000	-3679.115257697304	-3570.9350427944796	-108.18021490282455	-3570.9350427944796	100.23084875700106	-100.94008597397982	0.03623391743498866	0.2571303398013868	-0.3323736498625922	100.23084875700106	0.0020302534147882976	
440000	-3682.6092414212485	-3573.6443377795467	-108.96490364170195	-3573.6443377795467	99.34867274093989	-100.98290261328557	0.0374243738186035	0.34285541631721017	-1.07424574943424	99.34867274093989	0.002018697096614504	
450000	-3678.3779359880223	-3574.6533083148556	-103.72462767316672	-3574.6533083148556	100.45494563243983	-96.17712998458771	0.04000536722967076	0.3649848651486578	-0.6397424095968824	100.45494563243983	0.002672399069096188	
460000	-3676.7823602178455	-3566.8822867900344	-109.90007342781124	-3566.8822867900344	99.15494996176555	-101.33830766194428	0.018600988981557876	0.39689301420193335	-1.654010486884809	99.15494996176555	0.0022116044703341517	
470000	-3680.2393402436737	-3576.0278183112423	-104.21152193243161	-3576.0278183112423	99.60368369150586	-96.76384206804791	0.02644068636604677	0.7000721417052841	-0.5399245854015653	99.60368369150586	0.0024004968394521517	
480000	-3681.4412359307903	-3573.841087452903	-107.60014847788727	-3573.841087452903	100.07200952776073	-100.45623110208376	0.025686242317147154	0.3742298821223891	-0.23616209682137324	100.07200952776073	0.002291647815151097	
490000	-3675.009543636485	-3570.5971827328444	-104.41236090364055	-3570.5971827328444	99.2679916105581	-96.20714170758703	0.03496758853438942	0.47700440020402607	-1.2974639170713802	99.2679916105581	0.0023818254927367687	
500000	-3676.3969145557207	-3568.490071681428	-107.90684287429238	-3568.490071681428	99.96492499434423	-100.77083573062201	0.02756159565613659	0.3947035670438915	-0.228251864688232	99.96492499434423	0.0021615840586738607	
510000	-3679.8810037249314	-3572.687790051272	-107.1932136736596	-3572.687790051272	99.54566659932048	-99.64682936408671	0.037098084045467855	0.3311547648779892	-0.6386290305907553	99.54566659932048	0.002121904529739589	
520000	-3675.0074395706783	-3569.717601515793	-105.28983805488534	-3569.717601515793	100.04442307003177	-98.15234460495638	0.025984155964261988	0.5043499147319523	-0.22973817094682228	100.04442307003177	0.0023025923973822074	
530000	-3677.696854709646	-3568.685536639458	-109.01131807018804	-3568.685536639458	100.44340556531702	-101.48455444785296	0.005190390207385001	0.8713379530314664	-0.619008343352943	100.44340556531702	0.0022087978670651646	
540000	-3682.4099284229865	-3575.9908806229655	-106.41904780002075	-3575.9908806229655	100.42489206202856	-98.92443463964412	0.026254378709236185	0.350259162010288	-0.5868578813944936	100.42489206202856	0.0023292618742496046	
550000	-3675.5553430027185	-3569.0243093512468	-106.53103365147166	-3569.0243093512468	99.64500366431639	-99.14544222314721	0.026907438551093593	0.4476034723345406	-0.4778361493423063	99.64500366431639	0.00210587577427356	
