#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:sequence_data" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:sequence_data" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:sequence_data" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sequence_data">
#                <taxonset id="TaxonSet.sequence_data" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sequence_data" name="distribution" x="@birthRate2.t:sequence_data">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sequence_data" name="distribution" x="@relativeDeathRate2.t:sequence_data">
#            <Uniform id="Uniform.01" name="distr"/>
#        </prior>
#        <prior id="UCMeanRatePrior.c:sequence_data" name="distribution">
#            <parameter id="ucedMean.c:sequence_data" name="x">1.0</parameter>
#            <Uniform id="Uniform.02" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="all.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:sequence_data">
#            <taxonset id="all" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t14" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t15" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t16" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t10" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t11" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t12" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t13" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t9" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t21" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t20" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t23" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t22" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t25" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t24" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">100.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="sigma">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@sequence_data" id="treeLikelihood.sequence_data" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:sequence_data">
#            <siteModel id="SiteModel.s:sequence_data" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequence_data" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequence_data" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequence_data" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequence_data" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucedMean.c:sequence_data" id="ExponentialRelaxedClock.c:sequence_data" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:sequence_data">
#                <Exponential id="Exponential.c:sequence_data" name="distr">
#                    <parameter id="UCExpLambda.c:sequence_data" name="mean">1.0</parameter>
#                </Exponential>
#                <rateCategories dimension="48" id="expRateCategories.c:sequence_data" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2	monophyletic(all)	logP(mrca(all))	mrcatime(all)	ucedMean	
0	-26798.317406132446	-7299.763564895398	-19498.553841237048	-7299.763564895398	1.2767627710836433	0.9545885810632155	1.148991018208379	1.0085677956343309	1.1348433083745055	1.0	0.5	1	-19492.78092926644	1.2767627710836433	1.0	
10000	-3433.9619940118328	-3365.6579878782677	-68.30400613356503	-3365.6579878782677	99.61245863435298	0.004421510502483928	3.4853462792194E-4	0.9096836992790898	-60.87008288176304	0.022386186194431314	0.9238828855825238	1	-0.5261679728198486	99.61245863435298	0.03403807578520832	
20000	-3198.959533317481	-3137.823462734076	-61.13607058340491	-3137.823462734076	100.22918862551082	0.004312035617040185	2.6761153759977867E-4	0.8883841906753736	-53.89746909965097	0.009765480686025086	0.9906119896199229	1	-0.3308462047718009	100.22918862551082	0.028885309023448567	
30000	-3180.451270130894	-3120.896913114139	-59.554357016755	-3120.896913114139	100.85289427451615	0.004610109520826987	5.175888658536554E-4	1.0302120555054772	-50.965953098123286	0.011851300565808152	0.9908281541529868	1	-1.680648639649573	100.85289427451615	0.02713564693019469	
40000	-3159.5620384995113	-3099.155812383733	-60.40622611577831	-3099.155812383733	100.22165930371756	0.004444242777190006	6.068147207291383E-4	1.1135843419355604	-53.17441379030234	0.01118805029980547	0.9828451944376062	1	-0.32405704649383305	100.22165930371756	0.029367275176159544	
50000	-3164.5337466338838	-3101.8844279313876	-62.64931870249606	-3101.8844279313876	100.78449039799166	0.0045317288981065375	6.25467048970601E-4	1.1184664893380145	-54.28492170178697	0.0137451646691224	0.9821835532591472	1	-1.4566417217269563	100.78449039799166	0.02762788366761765	
60000	-3172.4669480967773	-3106.1867996133537	-66.28014848342339	-3106.1867996133537	99.75567762634422	0.0037553049804343475	1.6513577465813862E-4	0.9158542128292863	-59.02721500725894	0.017888907588935715	0.9751229724000698	1	-0.3451781971823135	99.75567762634422	0.01528021235597551	
70000	-3176.809675744612	-3105.527601590898	-71.28207415371403	-3105.527601590898	100.17552295153584	0.003371018406703637	1.6062524582449313E-4	1.071785991548035	-64.08691090905546	0.018632227164794856	0.9390713735075132	1	-0.2874079656764327	100.17552295153584	0.012303004795684795	
80000	-3175.144072797636	-3095.6503942884633	-79.4936785091729	-3095.6503942884633	100.58987523254609	0.0035125413369630773	1.3873092042388806E-4	1.060164289334012	-71.66422629760342	0.06149664947803527	0.7445284454678315	1	-0.9216969325873393	100.58987523254609	0.013392460128070993	
90000	-3170.939103994503	-3101.1236894331923	-69.81541456131053	-3101.1236894331923	100.13834832353734	0.003927194003218003	1.594395340652418E-4	0.9997406552421767	-62.64358741243249	0.023384552400656154	0.9627633695301444	1	-0.2640718698959142	100.13834832353734	0.016401536851534518	
100000	-3170.475626025107	-3102.7621415768936	-67.71348444821322	-3102.7621415768936	99.92558241236355	0.0037950535363652934	2.802405982870563E-4	0.978815899474694	-60.5688618618871	0.017996506809601832	0.9581970683010184	1	-0.23686730734398379	99.92558241236355	0.01781941873328692	
110000	-3179.554038951569	-3107.692345938829	-71.86169301273985	-3107.692345938829	100.40676027871132	0.0035159596417227526	1.9893387789136937E-4	1.1239520562462382	-64.39723853243837	0.0032889986184866005	0.9943520638795621	1	-0.5566992013193446	100.40676027871132	0.016613274726312185	
120000	-3175.059503855981	-3099.2807915340068	-75.77871232197417	-3099.2807915340068	99.43333880454995	0.003730844951320196	1.1540467178828358E-4	0.9992012709797917	-68.00295586948954	0.011100430796882376	0.9875242489198832	1	-0.8680011735024925	99.43333880454995	0.01281579159983384	
130000	-3180.285936984428	-3099.813087038395	-80.4728499460328	-3099.813087038395	100.7307068130613	0.0037069330830575495	9.204389550356976E-5	1.0538044157211732	-72.27143842109751	0.05983941504563734	0.8192136427969837	1	-1.29365624595314	100.7307068130613	0.010199182846778052	
140000	-3176.928535755086	-3103.7536127432636	-73.17492301182254	-3103.7536127432636	100.88300567831922	0.00367716753722577	2.2181522636877145E-4	1.0449578287770886	-64.4819783243077	0.0205907504200488	0.9634078291606102	1	-1.7851894085327058	100.88300567831922	0.014467239382341852	
150000	-3185.46384257203	-3103.5139201669285	-81.94992240510143	-3103.5139201669285	100.34837240396985	0.0034624974316742373	1.3912760971926058E-4	1.2566120393941835	-74.57364910977911	0.034504911088013526	0.74987111365651	1	-0.4685180163401883	100.34837240396985	0.01166597503939677	
160000	-3191.653454954862	-3108.9763613542545	-82.67709360060732	-3108.9763613542545	98.62757995401098	0.003339053520270858	7.597697368962683E-5	0.9875316290773161	-71.77647340371547	0.018274204188206987	0.9415553656206818	1	-3.9928649179097184	98.62757995401098	0.009767921895631464	
170000	-3181.4326362585484	-3106.492512130953	-74.94012412759567	-3106.492512130953	99.44957966863953	0.003252571910773189	6.53226476919533E-5	0.8312935014249948	-67.20065241361887	0.021443165864553596	0.971817398567691	1	-0.8317164349946677	99.44957966863953	0.008904822141404933	
