#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:sequence_data" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:sequence_data" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:sequence_data" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sequence_data">
#                <taxonset id="TaxonSet.sequence_data" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sequence_data" name="distribution" x="@birthRate2.t:sequence_data">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sequence_data" name="distribution" x="@relativeDeathRate2.t:sequence_data">
#            <Uniform id="Uniform.01" name="distr"/>
#        </prior>
#        <distribution id="all.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:sequence_data">
#            <taxonset id="all" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t14" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t15" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t16" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t10" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t11" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t12" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t13" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t9" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t21" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t20" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t23" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t22" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t25" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t24" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">100.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="sigma">0.5</parameter>
#            </Normal>
#        </distribution>
#        <prior id="ucldStdevPrior.c:sequence_data" name="distribution">
#            <parameter id="ucldStdev.c:sequence_data" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.03" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <prior id="MeanRatePrior.c:sequence_data" name="distribution">
#            <parameter id="ucldMean.c:sequence_data" name="x">1.0</parameter>
#            <Uniform id="Uniform.02" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@sequence_data" id="treeLikelihood.sequence_data" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:sequence_data">
#            <siteModel id="SiteModel.s:sequence_data" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequence_data" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequence_data" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequence_data" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequence_data" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:sequence_data" id="RelaxedClock.c:sequence_data" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:sequence_data">
#                <LogNormal S="@ucldStdev.c:sequence_data" id="LogNormalDistributionModel.c:sequence_data" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.04" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="48" id="rateCategories.c:sequence_data" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	logP(mrca(all))	mrcatime(all)	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	
0	-26403.212618722013	-7106.150881810604	-19297.061736911408	-7106.150881810604	1.7838169164828541	2.0896845650181857	1.0	0.5	-19293.063030342564	1.7838169164828541	1.0	0.1	1.0261181537026127	0.011896428526560183	0.10725868566103569	
10000	-3261.455844788109	-3210.893561316081	-50.562283472027914	-3210.893561316081	100.31062137537442	-37.59291262042923	0.02768275079356275	0.9834702120194699	-0.4187626303237253	100.31062137537442	0.33899255240036186	2.0378908547953687	0.004576905295226612	0.08153042884046953	2.596725909604282	
20000	-3069.889664856575	-3021.103214947665	-48.78644990891026	-3021.103214947665	99.22128071819266	-34.320737148017386	0.03713874664525165	0.9849703174196739	-1.4385987923618084	99.22128071819266	0.25383589316161265	2.2059364605638896	0.003963462676671355	0.008613904255034496	1.4221657413059576	
30000	-3080.2080555241846	-3031.7336996158024	-48.47435590838221	-3031.7336996158024	100.16243261088614	-34.94683496457979	0.015760382879634206	0.9910067878572517	-0.2785600588033053	100.16243261088614	0.3371248573342712	2.2845062482403993	0.004251299939462882	0.006619254704977287	1.3489965681615206	
40000	-3060.986532846341	-3017.272936176373	-43.71359666996814	-3017.272936176373	99.75847224620748	-30.01277827701903	0.0163075120272402	0.9923730853671638	-0.3424626643488524	99.75847224620748	0.3745578622860415	2.3233218001013833	0.00417931037389053	0.018012413795942785	1.3496010027227627	
50000	-3055.833045944572	-3013.082025183076	-42.75102076149583	-3013.082025183076	100.3711613779453	-28.88326429443503	0.01453406236321533	0.9960784114399729	-0.5013128896012334	100.3711613779453	0.36303471228770595	2.326193366393523	0.004324955476657474	0.04676898611651384	1.9185036675783518	
60000	-3071.99379678836	-3025.3579067561104	-46.6358900322497	-3025.3579067561104	100.83989077291217	-31.47619947270408	0.00969550263131451	0.9962499730902705	-1.6366243734907329	100.83989077291217	0.2583918257472803	2.3818502212597132	0.004182292632698727	0.056659168484680805	2.049520740521727	
70000	-3053.264834567758	-3012.199980173953	-41.064854393805106	-3012.199980173953	99.89395397558879	-27.37224134955523	0.008023416650532609	0.998313371925095	-0.2482828712315748	99.89395397558879	0.27621620927505425	2.353859437802594	0.004189559955357374	0.014780461486582158	1.4200924499294332	
80000	-3069.5360586706656	-3026.450758361597	-43.08530030906877	-3026.450758361597	99.55780169888277	-29.699019144643376	0.004778975474152268	0.998313371925095	-0.6168700276666564	99.55780169888277	0.189244172526652	2.1149276007249704	0.004454139372338224	0.03808726777760972	1.992896810520033	
90000	-3076.356962311584	-3024.007232443232	-52.349729868351915	-3024.007232443232	99.73664004060167	-38.722652173449205	0.0222699466379817	0.987487904320979	-0.3645082890733065	99.73664004060167	0.15773483921668563	2.2893322977795556	0.0037360675959840933	0.019837244717970125	2.3077592322961054	
100000	-3076.7785790131975	-3016.297792278835	-60.48078673436237	-3016.297792278835	100.19863659626722	-46.35743269198648	0.019694355573886126	0.9657846539882873	-0.30470434739798125	100.19863659626722	0.20075697578814947	2.4871288151814173	0.003819297106531626	0.004393042404457025	1.581003776644702	
110000	-3082.4050266489344	-3018.475297430689	-63.92972921824537	-3018.475297430689	99.02813286122446	-47.91507953191632	0.015687053911722305	0.985044013161629	-2.114842823508223	99.02813286122446	0.17893034607197306	2.51608734992969	0.004012195751978027	0.009458712721960876	2.0292272451153335	
120000	-3083.4530401139946	-3024.242356979794	-59.210683134200806	-3024.242356979794	100.72023876865983	-44.37261218374717	0.006623757041410301	0.9939148814820925	-1.2632791204059712	100.72023876865983	0.19198059972829964	2.4002511213047453	0.004067756220404055	0.009516408858593247	1.8336821657747175	
130000	-3072.2154510038476	-3017.209080615868	-55.00637038797958	-3017.209080615868	100.05395759465792	-41.635626160357326	0.016622460797585455	0.9879570306852312	-0.23161419668726338	100.05395759465792	0.16341226782268078	2.2455833547020676	0.00382673067756828	0.0098697604967921	1.5177061348901335	
140000	-3081.01388924187	-3024.748719210283	-56.26517003158676	-3024.748719210283	100.05173705890704	-43.43917505301655	0.021504719159378054	0.9873145464329214	-0.23114479917342776	100.05173705890704	0.10498872077178971	2.0534495699041577	0.004002949856430971	0.05412510178023445	2.5289462602278405	
150000	-3073.6413919889633	-3011.919179028166	-61.72221296079718	-3011.919179028166	99.64875597137619	-48.82223190573488	0.007925167611032808	0.9854295413319166	-0.4725360879324956	99.64875597137619	0.07933591793197305	1.9946276926101765	0.0038190708271596606	0.03143426512088553	2.3225981883308364	
160000	-3084.823479237533	-3022.7718953253125	-62.05158391222048	-3022.7718953253125	100.12743029607827	-48.9843038748124	0.013496096095237378	0.9847665821256566	-0.25826831336192024	100.12743029607827	0.09250921503471411	2.128893788061238	0.0038475016702776313	0.043755378008977885	2.536031652917466	
170000	-3080.7204271014493	-3019.4383032267538	-61.28212387469572	-3019.4383032267538	99.6026041896175	-47.17069225552134	0.009301555998752594	0.9870340090810527	-0.5416382128638639	99.6026041896175	0.12427631928196273	2.398472557566244	0.0038693054590002484	0.0852885777578446	2.621614060049662	
180000	-3080.7250153693185	-3018.0111906669886	-62.71382470232998	-3018.0111906669886	99.63772321093614	-49.625749946724156	0.036765420212192486	0.9651848139309113	-0.4882802964335621	99.63772321093614	0.08758745378141694	2.0551889213074572	0.003984603520730865	0.03435365578996221	2.6455823435329693	
