#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:sequence_data" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:sequence_data" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:sequence_data" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sequence_data">
#                <taxonset id="TaxonSet.sequence_data" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sequence_data" name="distribution" x="@birthRate2.t:sequence_data">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sequence_data" name="distribution" x="@relativeDeathRate2.t:sequence_data">
#            <Uniform id="Uniform.01" name="distr"/>
#        </prior>
#        <distribution id="all.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:sequence_data">
#            <taxonset id="all" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t14" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t15" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t16" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t10" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t11" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t12" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t13" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t9" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t21" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t20" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t23" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t22" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t25" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t24" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">100.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="sigma">0.5</parameter>
#            </Normal>
#        </distribution>
#        <prior id="ucldStdevPrior.c:sequence_data" name="distribution">
#            <parameter id="ucldStdev.c:sequence_data" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.03" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <prior id="MeanRatePrior.c:sequence_data" name="distribution">
#            <parameter id="ucldMean.c:sequence_data" name="x">1.0</parameter>
#            <Uniform id="Uniform.02" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@sequence_data" id="treeLikelihood.sequence_data" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:sequence_data">
#            <siteModel id="SiteModel.s:sequence_data" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequence_data" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequence_data" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequence_data" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequence_data" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:sequence_data" id="RelaxedClock.c:sequence_data" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:sequence_data">
#                <LogNormal S="@ucldStdev.c:sequence_data" id="LogNormalDistributionModel.c:sequence_data" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.04" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="48" id="rateCategories.c:sequence_data" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	logP(mrca(all))	mrcatime(all)	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	
0	-26862.67148480079	-7337.004429951057	-19525.66705484973	-7337.004429951057	1.2005597325748247	3.3059219498033126	1.0	0.5	-19522.884585665674	1.2005597325748247	1.0	0.1	0.986254106002505	0.011705980544149406	0.10709010153940685	
10000	-3789.254389029079	-3700.8360046734997	-88.41838435557928	-3700.8360046734997	100.9698759588834	-72.66821312708024	0.0094665206688581	0.9834133278907293	-2.1071101038847417	100.9698759588834	0.3289467083362814	2.4245519922976815	0.0030998689395114114	0.018504661852441085	3.1901522264138733	
20000	-3413.6884155924836	-3325.1580840341617	-88.53033155832189	-3325.1580840341617	100.06682902501291	-74.5379276933416	0.02629930205897877	0.9229299211588684	-0.23472358981307903	100.06682902501291	0.2412591164670315	2.4653882898605617	0.003293985622571798	0.008748629984661398	3.4316390745890213	
30000	-3374.480499617276	-3289.730984138772	-84.74951547850415	-3289.730984138772	100.15338528949506	-70.70771071902257	0.015179414191575464	0.9516102203711186	-0.27284544671169575	100.15338528949506	0.27744813690455966	2.469409222705879	0.003406143267570637	0.005058614026094568	3.013306398382382	
40000	-3365.3501159424964	-3277.9428991118066	-87.40721683068998	-3277.9428991118066	99.81869546306307	-73.14777035365464	0.03854644352311904	0.8252600716377678	-0.29153402287256014	99.81869546306307	0.26184956919248686	2.5404056475865566	0.00360677217919945	6.415982191369581E-4	1.8274104410832255	
50000	-3365.3345363501326	-3276.528480569028	-88.8060557811046	-3276.528480569028	99.30232935558915	-73.70128437924679	0.018678853536902813	0.8967299656361387	-1.199280008790025	99.30232935558915	0.22579157312955392	2.5181165281301228	0.0036848467150524117	4.462672787953514E-4	1.5054111531026748	
60000	-3368.2873773095675	-3277.944807584501	-90.34256972506645	-3277.944807584501	99.5182360033677	-75.74024392162035	0.011982289412248586	0.9698286787182459	-0.6899844495469727	99.5182360033677	0.16350114048149722	2.520561866011084	0.0032055806796523166	4.195817439538942E-4	1.7490979593124638	
70000	-3375.9873211013696	-3277.9882708014056	-97.99905029996417	-3277.9882708014056	100.02323593101616	-83.53524791397017	0.03457065859740141	0.7970409423357238	-0.22687116962510287	100.02323593101616	0.19809449744313773	2.636608492464288	0.0029734953403522577	1.725996398595759E-4	1.5685245620837884	
80000	-3378.078775030584	-3279.076533830048	-99.00224120053612	-3279.076533830048	99.08649973174012	-82.75522727647026	0.004887999940861903	0.97149913623204	-1.8947568328664763	99.08649973174012	0.18255109704881461	2.6779180061055547	0.0028467492301302204	1.1752781761901356E-4	1.2148015818344964	
90000	-3380.4402196296314	-3277.8010166826703	-102.63920294696099	-3277.8010166826703	99.3851056219	-87.47535083903486	0.03312587065563515	0.7884156294702863	-0.9819815450827093	99.3851056219	0.12104110158576618	2.6169000564694924	0.002783957077548031	1.556053508247453E-4	1.7449694063878345	
100000	-3385.3244602035384	-3285.5121895998113	-99.81227060372721	-3285.5121895998113	100.16672348637421	-85.6156756024767	0.02050543585594077	0.8158586208658395	-0.2813847944622698	100.16672348637421	0.09709396759349398	2.5215860513723722	0.0026701635237452383	9.368194390463262E-5	1.4220405924460005	
110000	-3389.7310479394737	-3283.4766328002815	-106.2544151391921	-3283.4766328002815	100.14731330882256	-92.06644267475815	0.04090248872010877	0.6505945775596912	-0.26919377455722976	100.14731330882256	0.08892305559587756	2.5228600437447866	0.0027304111141050118	5.254561644746096E-5	1.4994842570391953	
120000	-3396.0264708962422	-3288.433463491087	-107.5930074051552	-3288.433463491087	100.20167225886445	-93.39756609182808	0.06089578611105867	0.6281942278019511	-0.30713475263570555	100.20167225886445	0.10628090034337709	2.5119824718759265	0.002653886157570196	8.525957548755524E-5	1.4830899208462485	
130000	-3386.1324002583337	-3279.230759754548	-106.90164050378556	-3279.230759754548	99.9056726897209	-93.38776704351527	0.0057333688137338095	0.9255875928339622	-0.24358663557370594	99.9056726897209	0.08322898527597057	2.292069482603394	0.002168480484665796	4.786249131435944E-4	2.1984958994920647	
140000	-3382.386576275123	-3274.396125613619	-107.9904506615037	-3274.396125613619	99.61217832397048	-93.90803840029666	0.0655592740630923	0.0512775999409417	-0.5266026574414153	99.61217832397048	0.09200927091177677	2.3934972509954875	0.0024020073747568083	7.421063272630756E-5	1.4587108928007828	
150000	-3392.192134804362	-3281.6814591005764	-110.51067570378581	-3281.6814591005764	100.82647224710088	-95.73977261639432	0.04190475327458249	0.35862676363278995	-1.5919041031006866	100.82647224710088	0.04885214908991294	2.2597069117959467	0.0020703385596721434	3.0411160556525056E-5	1.2303967814119865	
160000	-3378.383660964041	-3278.1569956415938	-100.22666532244753	-3278.1569956415938	99.94965210791878	-87.01684760360308	0.03526020556039603	0.7810039541725444	-0.23086117311877172	99.94965210791878	0.03759956232905698	2.1889077038320424	0.002889660595396494	3.738942368519132E-5	1.2299121605235839	
170000	-3383.3502411681197	-3283.215557867859	-100.13468330026092	-3283.215557867859	99.10601649665443	-84.5881389359126	0.026797329136849977	0.8300126315133546	-1.8242043611527525	99.10601649665443	0.053907143333878034	2.452792453476913	0.0028853536571361634	4.698009740616426E-5	1.1589457886113348	
180000	-3379.4891468731043	-3279.862881789956	-99.62626508314816	-3279.862881789956	99.76776391591109	-85.5550888678608	0.026172252317491006	0.8243795365072695	-0.3336585501506303	99.76776391591109	0.045067780934078906	2.4582014866163195	0.00275424106462186	1.520421892470172E-4	1.7925057435670777	
190000	-3388.329617861399	-3279.834506401998	-108.49511145940104	-3279.834506401998	101.08605215759063	-91.74815200475025	0.04393294223117148	0.3304268662081954	-2.5848099306592482	101.08605215759063	0.05641190322304322	2.6098433638971126	0.0024284433989866052	9.258658327114973E-5	1.761339680656769	
200000	-3391.4919661574218	-3283.8776832390226	-107.61428291839917	-3283.8776832390226	100.20076371673248	-92.89985429441671	0.04291736811787682	0.748752500961436	-0.3064034925572076	100.20076371673248	0.08818735986914568	2.6979081802668112	0.002693030095830372	2.0197583110896032E-4	1.6444867455761911	
