#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:sequence_data" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:sequence_data" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:sequence_data" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sequence_data">
#                <taxonset id="TaxonSet.sequence_data" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sequence_data" name="distribution" x="@birthRate2.t:sequence_data">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="ClockPrior.c:sequence_data" name="distribution">
#            <parameter id="clockRate.c:sequence_data" name="x">1.0</parameter>
#            <Uniform id="Uniform.01" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sequence_data" name="distribution" x="@relativeDeathRate2.t:sequence_data">
#            <Uniform id="Uniform.02" name="distr"/>
#        </prior>
#        <distribution id="all.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:sequence_data">
#            <taxonset id="all" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t14" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t15" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t16" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t10" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t11" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t12" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t13" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t9" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t21" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t20" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t23" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t22" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t25" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t24" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">100.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="sigma">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@sequence_data" id="treeLikelihood.sequence_data" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:sequence_data">
#            <siteModel id="SiteModel.s:sequence_data" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sequence_data" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sequence_data" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sequence_data" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sequence_data" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:sequence_data" id="StrictClock.c:sequence_data" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	logP(mrca(all))	mrcatime(all)	clockRate	
0	-26333.243855731103	-6796.25535724777	-19536.988498483333	-6796.25535724777	1.1666596621611218	6.203372818473257	1.0	0.5	-19536.284116022824	1.1666596621611218	1.0	
10000	-2830.542694644642	-2720.4793631054486	-110.06333153919314	-2720.4793631054486	100.27164304888927	-102.78220501554655	0.05126125196723507	0.1024563440747271	-0.37337124466444843	100.27164304888927	0.0012725124226146871	
20000	-2835.3190258720997	-2724.472715391777	-110.84631048032267	-2724.472715391777	100.40693100569128	-103.38157816190999	0.0409052058781	0.004072660938160495	-0.5569770394305555	100.40693100569128	0.0011101493531815987	
30000	-2828.2877782233504	-2718.920564686912	-109.36721353643883	-2718.920564686912	99.97777722386736	-102.23267920125387	0.02486285511067885	0.6329553739075355	-0.22677905620280994	99.97777722386736	0.001236988253563841	
40000	-2827.2530567941167	-2718.2257501531076	-109.02730664100896	-2718.2257501531076	100.61897210425226	-101.12750707769715	0.027697777574899902	0.31846728503353394	-0.9920442843296807	100.61897210425226	0.0012176838748256653	
50000	-2832.723884045064	-2722.618138386554	-110.10574565851005	-2722.618138386554	99.5874903478919	-102.63187060071849	0.024002960406079264	0.6747085717023608	-0.5661197788094172	99.5874903478919	0.001062782299691296	
60000	-2829.847416162778	-2721.5034026834464	-108.34401347933148	-2721.5034026834464	99.79674024992372	-101.12783779570246	0.034967952424911575	0.6165370517515024	-0.3084204046468748	99.79674024992372	0.0013137161705349372	
70000	-2827.648866929175	-2717.2345495648274	-110.41431736434738	-2717.2345495648274	99.27042987749934	-102.21622560542926	0.03791697947602792	0.405768345608887	-1.2903364799359864	99.27042987749934	0.0012368424111703783	
80000	-2835.1131993829	-2724.7422194944666	-110.37097988843333	-2724.7422194944666	100.45268003165724	-102.82759483468406	0.030049367790171262	0.535065997290697	-0.6356297747671229	100.45268003165724	0.0011091927098088618	
90000	-2826.5395183578057	-2715.317104866884	-111.2224134909214	-2715.317104866884	100.52548159688521	-103.53660504196446	0.029936626516237352	0.06546258170970178	-0.778053169974797	100.52548159688521	0.001100837030210033	
100000	-2831.349303490726	-2724.562779584391	-106.78652390633496	-2724.562779584391	99.78803255875474	-99.56311688241198	0.02686734354501725	0.606830902281995	-0.3156517449408562	99.78803255875474	0.0011652908617788655	
110000	-2829.9210921199942	-2720.857685038226	-109.06340708176843	-2720.857685038226	100.12146181495346	-101.90035450515799	0.03264678994231997	0.21629546965376073	-0.25529729762830594	100.12146181495346	0.0012182588230805248	
120000	-2829.500353540407	-2719.341591467093	-110.15876207331405	-2719.341591467093	99.46233039023292	-102.44703822315302	0.05196849539627254	0.2248242026023894	-0.803968571178893	99.46233039023292	0.001196771977895247	
130000	-2827.660738010264	-2718.1065061902063	-109.55423182005781	-2718.1065061902063	99.39229944678718	-101.6820852636806	0.04092596969335231	0.23401738403723618	-0.9643912773950686	99.39229944678718	0.0013070902468943298	
140000	-2831.215076769939	-2720.6963224717992	-110.51875429813975	-2720.6963224717992	100.36421229679397	-103.11990647224101	0.020479751543635082	0.6026214539680653	-0.49109254691659876	100.36421229679397	0.0010684760666013501	
150000	-2841.319599253842	-2728.4465084091935	-112.87309084464864	-2728.4465084091935	98.97348187099253	-103.63206527465978	0.03410173467841451	0.2577633754770962	-2.333270291006724	98.97348187099253	0.0011209207061702302	
160000	-2828.3127915906557	-2716.585192128499	-111.72759946215675	-2716.585192128499	99.29004860092148	-103.58599085242278	0.03396888903897882	0.6603352830182572	-1.2338533307518227	99.29004860092148	0.0011315540934324442	
170000	-2831.295009106877	-2720.4553607597	-110.83964834717685	-2720.4553607597	100.12683159696563	-103.67392920757229	0.02736372454115221	0.40124833125961995	-0.2579638606224314	100.12683159696563	0.0011575958535018746	
180000	-2826.6728688360595	-2715.9569934137653	-110.7158754222941	-2715.9569934137653	100.54854096491573	-102.98053441028588	0.017116494545344783	0.665730752368434	-0.8275857330260886	100.54854096491573	0.0012268498757659321	
190000	-2836.565307757963	-2723.436235083981	-113.12907267398234	-2723.436235083981	100.16502788986465	-105.94105763348911	0.009854511828365276	0.6370479713199056	-0.280259761511083	100.16502788986465	0.0010196040063248377	
200000	-2830.5332951561304	-2720.8486120280013	-109.68468312812914	-2720.8486120280013	100.27571553068518	-102.39909838878026	0.020068235659578486	0.47820915768136	-0.3778294603667436	100.27571553068518	0.0011566284229949035	
